ID,Example,Primary_Text,IPA,Analyzed,Gloss,Translation,Comment
UT007,son puätt õõut da kueiʹt kõõskâst;3SG.NOM come.PRS.3SG one.GEN and two.GEN between;he is coming between one and two o'clock;,son puätt õõut da kueiʹt kõõskâst,,son	puätt	õõut	da	kueiʹt	kõõskâst,3SG.NOM	come.PRS.3SG	one.GEN	and	two.GEN	between,he is coming between one and two o'clock,
UT008,suu tieʹđǩâni;3SG.GEN know.V.ABE;without him/her knowing;,suu tieʹđǩâni,,suu	tieʹđǩâni,3SG.GEN	know.V.ABE,without him/her knowing,
UT008,suu lookkâm ǩeʹrjj;3SG.GEN read.PST.PTCP book.SG.NOM;a book that (s)he has read;,suu lookkâm ǩeʹrjj,,suu	lookkâm	ǩeʹrjj,3SG.GEN	read.PST.PTCP	book.SG.NOM,a book that (s)he has read,
UT014,son-a pâi kuuskõõzzid ǩeäčč da njorgg;3SG.NOM-EMP only aurora.PL.ACC watch.PRS.3SG and whistle.PRS.3SG;he just watches the northern lights and whistles;,son-a pâi kuuskõõzzid ǩeäčč da njorgg,,son-a	pâi	kuuskõõzzid	ǩeäčč	da	njorgg,3SG.NOM-EMP	only	aurora.PL.ACC	watch.PRS.3SG	and	whistle.PRS.3SG,he just watches the northern lights and whistles,
UT017,vuõjjâd : vuõjeed;;swim : swim around;,vuõjjâd : vuõjeed,,vuõjjâd	:	vuõjeed,,swim : swim around,
UT017,väʹʒʒed : vaaʒʒčed;;walk : walk around;,väʹʒʒed : vaaʒʒčed,,väʹʒʒed	:	vaaʒʒčed,,walk : walk around,
UT018,bieʹss leäi lossânji vueʹđđmen;devil.SG.NOM be.PST.3SG heavy.ADV sleep.PROG.PTCP;the devil was sleeping deeply;,bieʹss leäi lossânji vueʹđđmen,,bieʹss	leäi	lossânji	vueʹđđmen,devil.SG.NOM	be.PST.3SG	heavy.ADV	sleep.PROG.PTCP,the devil was sleeping deeply,
UT019,jâđđa muäna vueʹlǧǧep meäcca;tomorrow 1DU.NOM leave.PRS.1PL forest.SG.ILL;tomorrow the two of us will go to the forest;,jâđđa muäna vueʹlǧǧep meäcca,,jâđđa	muäna	vueʹlǧǧep	meäcca,tomorrow	1DU.NOM	leave.PRS.1PL	forest.SG.ILL,tomorrow the two of us will go to the forest,
UT021,juʹn eeunaž leäi siʹjjid mainstam;already spider be.PST.3SG 3PL.ILL tell.PST.PTCP;Spider had already told them;,juʹn eeunaž leäi siʹjjid mainstam,,juʹn	eeunaž	leäi	siʹjjid	mainstam,already	spider	be.PST.3SG	3PL.ILL	tell.PST.PTCP,Spider had already told them,
UT026,poorčem;eat.COND.1SG;I would eat;,poorčem,,poorčem,eat.COND.1SG,I would eat,
UT027,"jiõm âʹtte mon ni kõõjjče što jos mon teâđčem leʹččem veär raajjâm ouddâl;NEG.1SG then 1SG.NOM even ask.NEG:COND COMP if 1SG.NOM know.COND.1SG be.COND.1SG food.SG.ACC prepare.PST.PTCP before;I wouldn't even ask, if I knew, if I had prepared food before;",jiõm âʹtte mon ni kõõjjče što jos mon teâđčem leʹččem veär raajjâm ouddâl,,jiõm	âʹtte	mon	ni	kõõjjče	što	jos	mon	teâđčem	leʹččem	veär	raajjâm	ouddâl,NEG.1SG	then	1SG.NOM	even	ask.NEG:COND	COMP	if	1SG.NOM	know.COND.1SG	be.COND.1SG	food.SG.ACC	prepare.PST.PTCP	before,"I wouldn't even ask, if I knew, if I had prepared food before",
UT029,leʹžžem;be.POT.1SG;I may be.,leʹžžem,,leʹžžem,be.POT.1SG,I may be.,
UT031,"Peâtt mainstââǥǥas tuʹnne, što mäʹhtt tõʹst ǩiâvi;Pekka tell.IMP.3SG 2SG.ILL COMP how DIST.SG.LOC happen.PST.3SG;let Pekka tell you how things went there;","Peâtt mainstââǥǥas tuʹnne, što mäʹhtt tõʹst ǩiâvi",,"Peâtt	mainstââǥǥas	tuʹnne,	što	mäʹhtt	tõʹst	ǩiâvi",Pekka	tell.IMP.3SG	2SG.ILL	COMP	how	DIST.SG.LOC	happen.PST.3SG,let Pekka tell you how things went there,
UT039,"Pueʹrmõs puõccid kuõʹđđe ja hueʹnmõõzzid koʹdde;good.SPRL reindeer.PL.ACC leave.PST.3PL and bad.SPRL.PL.ACC kill.PST.3PL;The best reindeer were left alive, and the weakest were killed;",Pueʹrmõs puõccid kuõʹđđe ja hueʹnmõõzzid koʹdde,,Pueʹrmõs	puõccid	kuõʹđđe	ja	hueʹnmõõzzid	koʹdde,good.SPRL	reindeer.PL.ACC	leave.PST.3PL	and	bad.SPRL.PL.ACC	kill.PST.3PL,"The best reindeer were left alive, and the weakest were killed",
UT043,sij vueʹlǧǧe ǩiččâd tõn pueʹrr jânnam;3PL.NOM set.off.PST.3PL see.INF DIST.SG.ACC good land.SG.ACC;they set off to see that good land;,sij vueʹlǧǧe ǩiččâd tõn pueʹrr jânnam,,sij	vueʹlǧǧe	ǩiččâd	tõn	pueʹrr	jânnam,3PL.NOM	set.off.PST.3PL	see.INF	DIST.SG.ACC	good	land.SG.ACC,they set off to see that good land,
UT044,âbrr;rain.PRS.3SG;it's raining;,âbrr,,âbrr,rain.PRS.3SG,it's raining,
UT044,kuâldd;snow.PRS.3SG;it's snowing;,kuâldd,,kuâldd,snow.PRS.3SG,it's snowing,
UT045,nijdd lij äʹrǧǧ;girl.SG.NOM PRS.3SG shy.SG.NOM;the girl is shy;,nijdd lij äʹrǧǧ,,nijdd	lij	äʹrǧǧ,girl.SG.NOM	PRS.3SG	shy.SG.NOM,the girl is shy,
UT046,"Tät leäi, ašttõʹlle, reeʹǧǧes caarr;PROX.SG.NOM be.PST.3SG remember.PRS.3PL richtsar.SG.NOM;He was, they say, a rich tsar;","Tät leäi, ašttõʹlle, reeʹǧǧes caarr",,"Tät	leäi,	ašttõʹlle,	reeʹǧǧes	caarr",PROX.SG.NOM	be.PST.3SG	remember.PRS.3PL	richtsar.SG.NOM,"He was, they say, a rich tsar",
UT048,aiham da čiʹʒiham peʹjje seeʹibez kaʹlddja;bear.SG.NOM and wolf.SG.NOM put.PRS.3PL tail.PL.ACC.3PL;ice.hole.SG.ILL;bear and wolf put their tails into the hole in the ice;,aiham da čiʹʒiham peʹjje seeʹibez kaʹlddja,bear.SG.NOM and wolf.SG.NOM put.PRS.3PL tail.PL.ACC.3PL,bear.SG.NOM	and	wolf.SG.NOM	put.PRS.3PL	tail.PL.ACC.3PL,ice.hole.SG.ILL,bear and wolf put their tails into the hole in the ice,
UT048,son aaʹlji vuäggad da kueʹll tääʹvti ǩidd;3SG.NOM start.PST.3SG angle.INF and fish.SG.NOM grab.PST.3SG closed;he started to angle and the fish took the bait;,son aaʹlji vuäggad da kueʹll tääʹvti ǩidd,,son	aaʹlji	vuäggad	da	kueʹll	tääʹvti	ǩidd,3SG.NOM	start.PST.3SG	angle.INF	and	fish.SG.NOM	grab.PST.3SG	closed,he started to angle and the fish took the bait,
UT050,Mon pooram;1SG eat.PRS.1SG;I eat;,Mon pooram,,Mon	pooram,1SG	eat.PRS.1SG,I eat,
UT050,mon jiõm poor;1SG NEG.1SG eat.CNG;I don't eat;,mon jiõm poor,,mon	jiõm	poor,1SG	NEG.1SG	eat.CNG,I don't eat,
UT053,taaurõš ij ni vuäittam cieʹlǩkani leeʹd;friend.SG.NOM NEG.3SG even be.able.PST.PTCP say.ABE be.INF;(my) friend was not even able to stay silent (lit. be without saying);,taaurõš ij ni vuäittam cieʹlǩkani leeʹd,,taaurõš	ij	ni	vuäittam	cieʹlǩkani	leeʹd,friend.SG.NOM	NEG.3SG	even	be.able.PST.PTCP	say.ABE	be.INF,(my) friend was not even able to stay silent (lit. be without saying),
UT054,Tõin	võnnsin miʹjjid uiddeeš täʹlvv-siʹjdde; that.COM boat.COM 1PL.ACC take.away.PST.3PL;winter_village.ILL;With that boat they took us away to the winter village;,Tõin	võnnsin miʹjjid uiddeeš täʹlvv-siʹjdde, that.COM boat.COM 1PL.ACC take.away.PST.3PL,that.COM	boat.COM	1PL.ACC	take.away.PST.3PL,winter_village.ILL,With that boat they took us away to the winter village,
UT055,lookki  päʹrnn;read.PRS.PTCP boy.SG:NOM;a boy that reads;,lookki  päʹrnn,,lookki	päʹrnn,read.PRS.PTCP	boy.SG:NOM,a boy that reads,
UT055,lookkâm päʹrnn;read.PST.PTCP;a boy that has read;,lookkâm päʹrnn,,lookkâm	päʹrnn,read.PST.PTCP,a boy that has read,
