ID,Name,South.Saami,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,0,Richard Kowalik (p.c. 2019),,"In South Saami, the dual is not obligatory in the language of first language speakers (cf. also Bergsland 1946: 171). Usually, plural verb morphology is combined with dual personal pronouns: månnoeh vuejnebe (1DU see.1PL) 'we two see'. However, the dual is used in revitalized language/by second language speakers. "
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,0,Richard Kowalik (p.c. 2019),,
UT003,Can finite verbs agree in number with the nominal object?,0,Richard Kowalik (p.c. 2019),,
UT004,Can an adnominal property word agree with the noun in case?,0,Richard Kowalik (p.c. 2019),,
UT005,Are there cases that do not show agreement in terms of case?,0,Richard Kowalik (p.c. 2019),,
UT006,Can adpositions be used to mark core verbal arguments?,0,Richard Kowalik (p.c. 2019),,
UT007,Can adpositions be used to mark non-core/oblique verbal arguments?,1,Richard Kowalik (p.c. 2019),"UT007-1, UT007-2",
UT008,Can non-finite clauses entail a special way for a core argument (S/A) marking?,0,Richard Kowalik (p.c. 2019),,
UT009,Can non-finite clauses entail a special way for a core argument (P) marking?,0,Richard Kowalik (p.c. 2019),,
UT010,"Do characteristics of object referent (topicality, animacy, definiteness) influence object marking?",1,Richard Kowalik (p.c. 2019),"UT010-1, UT010-2","South Saami uses differential object marking (DOM) to express definiteness of objects in the plural. Plural objects marked with the nominative have an indefinite reading, plural objects marked with the accusative have a definite reading."
UT011,Does object marking correlate with aspectuality?,0,Richard Kowalik (p.c. 2019),,
UT012,Does the marking of the object depend on the verb conjugation form?,0,Richard Kowalik (p.c. 2019),,
UT013,Is there differential subject marking?,0,Richard Kowalik (p.c. 2019),,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",1,Richard Kowalik (p.c. 2019),UT014,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",0,Richard Kowalik (p.c. 2019),,
UT016,Is there a grammatical device for habituality?,0,Richard Kowalik (p.c. 2019),,
UT017,Is there a grammatical device for frequentative?,0,Richard Kowalik (p.c. 2019),,
UT018,Is there a grammatical device for progressivity?,1,Richard Kowalik (p.c. 2019),"UT018-1, UT018-2",The auxiliary is dropped in the present.
UT019,Is it common to use a verb in the present tense for future time reference?,1,Richard Kowalik (p.c. 2019),UT019,
UT020,Is there a grammatical device for immediate future?,0,Richard Kowalik (p.c. 2019),,Modal verbs ('shall') are frequently used to express future. 
UT021,Is there a grammatical device for pluperfect?,1,Richard Kowalik (p.c. 2019),UT021,
UT022,Can aspect be expressed overtly on the negative marker?,0,Richard Kowalik (p.c. 2019),,
UT023,Can tense be expressed overtly on the negative marker?,1,Richard Kowalik (p.c. 2019),"UT023-1, UT023-2",
UT024,Is there grammatical marking of mirativity?,0,Richard Kowalik (p.c. 2019),,
UT025,Is there morphological marking on the verb dedicated to the expression of desire or wish?,0,Richard Kowalik (p.c. 2019),,
UT026,Is there morphological marking for irrealis (e.g. hypothetical state of affairs)?,0,Richard Kowalik (p.c. 2019),,"The copula verb has irrealis/conditional forms, but verbs are not marked for irrealis."
UT027,Are verbs marked in a specific mood in counterfactual conditional clauses?,0,Richard Kowalik (p.c. 2019),,
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,Richard Kowalik (p.c. 2019),,
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,0,Richard Kowalik (p.c. 2019),,
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,Richard Kowalik (p.c. 2019),,
