ID,Name,Kamas,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,1,"Gerson Klumpp, p.c.",,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,1,"Gerson Klumpp, p.c.",,"In 3rd person; constructio ad sensum: NP in singular after numeral 2, verb in plural (e.g. R4, R15, R22). Also attested: S 3rd plural, verb 3rd singular."
UT003,Can finite verbs agree in number with the nominal object?,0,"Gerson Klumpp, p.c.",,No indication of object number in the objective conjugation in Kamas.
UT004,Can an adnominal property word agree with the noun in case?,0,"Gerson Klumpp, p.c.",,Only in case of inversion: Adj. N > N Adj.
UT005,Are there cases that do not show agreement in terms of case?,1,"Gerson Klumpp, p.c.",,There is no agreement in case or number in the NP.
UT006,Can adpositions be used to mark core verbal arguments?,0,"Gerson Klumpp, p.c.",,
UT007,Can adpositions be used to mark non-core/oblique verbal arguments?,0,"Gerson Klumpp, p.c.",,
UT008,Can non-finite clauses entail a special way for a core argument (S/A) marking?,1,"Gerson Klumpp, p.c.",,"Genitive subject with participle+LOC+Px is expected. Unfortunately, in all attested instances (Px-es, personal pronouns 1st/2nd persons) the genitive form is identical with the nominative."
UT009,Can non-finite clauses entail a special way for a core argument (P) marking?,0,"Gerson Klumpp, p.c.",,
UT010,"Do characteristics of object referent (topicality, animacy, definiteness) influence object marking?",1,"Gerson Klumpp, p.c.",,Object marking depends on the givenness.
UT011,Does object marking correlate with aspectuality?,0,"Gerson Klumpp, p.c.",,
UT012,Does the marking of the object depend on the verb conjugation form?,1,"Gerson Klumpp, p.c.",,"Zero marking occurs with imperative, as in the other Samoyed languages."
UT013,Is there differential subject marking?,0,"Gerson Klumpp, p.c.",,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",1,"Gerson Klumpp, p.c.",,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",0,"Gerson Klumpp, p.c.",,
UT016,Is there a grammatical device for habituality?,0,"Gerson Klumpp, p.c.",,No special marker for habituality attested.
UT017,Is there a grammatical device for frequentative?,1,"Gerson Klumpp, p.c.",,
UT018,Is there a grammatical device for progressivity?,1,"Gerson Klumpp, p.c.",,
