ID,Name,Tver.Karelian,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,0,"Irina Novak, p.c.",,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,0,"Irina Novak, p.c.",,"In 3Pl forms, the impersonal form is used."
UT003,Can finite verbs agree in number with the nominal object?,0,"Irina Novak, p.c.",,
UT004,Can an adnominal property word agree with the noun in case?,1,"Irina Novak, p.c.",šom-i-lla päiv-i-llä;beautiful-PL-ADE day-PL-ADE;on beautiful days;,
UT005,Are there cases that do not show agreement in terms of case?,0,"Irina Novak, p.c.",,
UT006,Can adpositions be used to mark core verbal arguments?,0,"Irina Novak, p.c.",,
UT007,Can adpositions be used to mark non-core/oblique verbal arguments?,1,"Irina Novak, p.c.",häne-llä varoin;3SG-ADE/ALL for;for him/her;,
UT008,Can non-finite clauses entail a special way for a core argument (S/A) marking?,1,"Irina Novak, p.c.",Tuato-n tullešša kodi-h;father-GEN come.CVB home-ILL;When father came home...;,
UT009,Can non-finite clauses entail a special way for a core argument (P) marking?,0,"Irina Novak, p.c.",,
UT010,"Do characteristics of object referent (topicality, animacy, definiteness) influence object marking?",0,"Irina Novak, p.c.",,
UT011,Does object marking correlate with aspectuality?,1,"Irina Novak, p.c.",Mie luve-n tä-dä kniiguoi;1SG read-1SG this-PRT book.PRT;I am reading this book;|Mie luv-i-n tämä-n kniiga-n;1SG read-PST-1SG this-GEN book-GEN;I read this book;,
UT012,Does the marking of the object depend on the verb conjugation form?,1,"Irina Novak, p.c.",Luve tämä kniiga!;read.IMP.2SG this.NOM book.NOM;Read this book!;,
UT013,Is there differential subject marking?,1,"Irina Novak, p.c.",Stola-lla on leibiä;table-ADE be.3SG bread.PRT;There is some bread on the table;|Leibä on magie;bread.NOM be.3SG sweet;The bread is sweet;,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",1,"Irina Novak, p.c.",hüö otettih kartohka-t i kuattih karžinah;3PL take-IPS.PST potato-PL and pour-IPS.PST basket-ILL;They took the potatoes and poured it into the basket;,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",0,"Irina Novak, p.c.",,
UT016,Is there a grammatical device for habituality?,0,"Irina Novak, p.c.",,
UT017,Is there a grammatical device for frequentative?,1,"Irina Novak, p.c.","lendöy;fly.3SG;s/he is flying;|lendelöy;fly.FRQ.3SG;s/he is flying around
",
UT018,Is there a grammatical device for progressivity?,1,"Irina Novak, p.c.",Ole-n lugo-ma-šša;be-1SG read-SUP-INE;I am reading;,
UT019,Is it common to use a verb in the present tense for future time reference?,1,"Irina Novak, p.c.",Mie ošša-n leibiä huomena;1SG buy-PRS.1SG bread.PRT tomorrow;I'll buy (some) bread tomorrow;,
UT020,Is there a grammatical device for immediate future?,0,"Irina Novak, p.c.",,
UT021,Is there a grammatical device for pluperfect?,0,"Irina Novak, p.c.",,Nowadays only the imperfect is used.
UT022,Can aspect be expressed overtly on the negative marker?,0,"Irina Novak, p.c.",,
UT023,Can tense be expressed overtly on the negative marker?,0,"Irina Novak, p.c.",,The negation is formed using a negative particle. 
UT024,Is there grammatical marking of mirativity?,0,"Irina Novak, p.c.",,
UT025,Is there morphological marking on the verb dedicated to the expression of desire or wish?,0,"Irina Novak, p.c.",,
UT026,Is there morphological marking for irrealis (e.g. hypothetical state of affairs)?,1,"Irina Novak, p.c.",Mie kaččo-zi-n tä-dä fil´mu-a;1SG watch-COND-1SG this-PRT movie-PRT;I would watch this movie;,
UT027,Are verbs marked in a specific mood in counterfactual conditional clauses?,1,"Irina Novak, p.c.","Mie oli-zi-n tul-lun šiu-n luokši, kuin oli-zi-n ol-lun linna-šša;1SG be-COND-1SG come-ACT.PST.PTCP 2SG-GEN to if be-COND-1SG be-ACT.PST.PTCP town-INE;I would have come to your place if I would have been in town;",
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,"Irina Novak, p.c.",,
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,1,"Irina Novak, p.c.",Hiän anda-nnou šiu-la hyvä-n neuvo-n;3SG give-POT.3SG 2SG-ADE/ALL good-GEN advice-GEN;S/he might give you good advice;,
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,"Irina Novak, p.c.",,
UT031,Is there morphological marking on the verb used to express indirect commands/wishes etc. directed to the 3Sg?,1,"Irina Novak, p.c.","Tul-gah hiän huomena;come-JUSS.3SG 3SG tomorrow;Let him/her come tomorrow;
","The analytic formation is, however, more common, e.g. Ana hiän tulou huomena (give.IMP.2G 3SG come.3SG tomorrow) 'Let him/her come tomorrow'."
UT032,Is there morphological marking on the verb used to express indirect commands/wishes etc. directed to the 1Sg?,0,"Irina Novak, p.c.",,
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,"Irina Novak, p.c.",,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,"Irina Novak, p.c.",,
UT035,Is there reflexive conjugation?,0,"Irina Novak, p.c.",,
UT036,Are there syntactically ditransitive verbs?,0,"Irina Novak, p.c.",,
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,0,"Irina Novak, p.c.",,
UT038,Can an impersonal (or passive) form be used instead of a finite plural form with an overt subject expression?,1,"Irina Novak, p.c.",Vanhemmat ele-täh kylä-ššä;partents live-IPS.PRS village-INE;The parents are living in a village;,
