ID,Name,South.Selkup,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,1,Klumpp and Budzisch 2023:904,,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,1,Pozdeeva 2015,UT002,"Dual subject + plural verb, dual subject + singular verb."
UT003,Can finite verbs agree in number with a nominal object?,0,Klumpp and Budzisch 2023:915,,No marking of object number in Selkup objective conjugation.
UT004,Can an adnominal property word agree with the noun in case?,0,Klumpp and Budzisch 2023:911,,
UT005,Is there non-agreement between an adnominal property word and the head noun? ,1,Klumpp and Budzisch 2023:911,,
UT006,Can adpositions be used to mark core verbal arguments?,0,"Klumpp and Budzisch 2023:905-910, 921-922, 925",,
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,1,Gerson Klumpp (p.c. 2020),"UT008-1, UT008-2",
UT009,Can non-finite clauses use a special means for core argument (P) marking?,0,Gerson Klumpp (p.c. 2020); Klumpp and Budzisch 2023:927,,
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",1,Wegener 2018:181,,"However, to a minor degree. Inanimate object tends to be unmarked."
UT011,Does object marking correlate with aspectuality?,0,Klumpp and Budzisch 2023:925,,
UT012,Does object marking depend on the verb conjugation form?,1,Klumpp and Budzisch 2023:925,,Zero marking with imperative.
UT013,Is there differential subject marking?,0,Klumpp and Budzisch 2023:906,,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,Klumpp and Budzisch 2023:923,,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",0,Klumpp and Budzisch 2023:923,,
UT016,Is there grammatical marking of habituality?,1,"Klumpp and Budzisch 2023:915, 921",,"Verbal derivations in -(m)bi and -ku (other readings are possible too, however)."
UT017,Is there grammatical marking of frequentativity?,1,Klumpp and Budzisch 2023:920-921,,"Verbal derivations in -r, -ku."
UT018,Is there grammatical marking of progressivity?,1,Behnke 2020,,"In the Ket dialect e.g., tʃɑːdʒi- ‘go’ and tɑːdər- ‘carry’."
UT019,Is it common to use a verb in the present tense for future time reference?,0,Gerson Klumpp (p.c. 2020),,
