ID,Name,Akkala.Saami,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,0,Zaikov 1987:140-170,,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,0,Zaikov 1987:in passim,,Only quantity phrases with a noun in the genitive singular or essive do not agree with verbal predicates.
UT003,Can finite verbs agree in number with a nominal object?,0,Zaikov 1987:in passim,,
UT004,Can an adnominal property word agree with the noun in case?,0,Zaikov 1987:in passim,,
UT005,Is there non-agreement between an adnominal property word and the head noun?,1,Zaikov 1987:in passim,UT005,
UT006,Can adpositions be used to mark core verbal arguments?,0,Zaikov 1987:in passim,,
UT008,Can non-finite clauses use a special means for core argument (S/A) marking?,1,Zaikov 1987:170,UT008,
UT009,Can non-finite clauses use a special means for core argument (P) marking?,0,Zaikov 1987:in passim,,
UT010,"Do the characteristics of the object referent (topicality, animacy, definiteness) influence object marking?",0,Zaikov 1987:in passim,,
UT011,Does object marking correlate with aspectuality?,0,Zaikov 1987:in passim,,
UT012,Does object marking depend on the verb conjugation form?,0,Zaikov 1987:in passim,,
UT013,Is there differential subject marking?,0,Zaikov 1987:in passim,,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",1,Zaikov 1987:in passim,UT014,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e., act as a syntactic pivot?",0,Zaikov 1987:in passim,,
UT016,Is there grammatical marking of habituality?,1,Zaikov 1987:in passim; Genetz 1891:in passim,"UT016-1, UT016-2","Habitual meaning is covered by a frequentative marker, see UT017."
UT017,Is there grammatical marking of frequentativity?,1,Zaikov 1987:in passim; Genetz 1891:in passim,"UT016-1, UT016-2","Both frequentative and habitual meanings are expressed by the same suffix, see UT016."
UT018,Is there grammatical marking of progressivity?,1,Zaikov 1987:167,"UT018-1, UT018-2",
UT019,Is it common to use a verb in the present tense for future time reference?,1,Zaikov 1987:147,"UT019-1, UT019-2","Telic verbs in the present tense refer to the future. However, atelic verbs in the present tense can only refer to the future in the context of planned activities."
UT020,Is there grammatical marking of the immediate future?,0,Zaikov 1987:in passim,,
UT021,Is there grammatical marking of the pluperfect?,1,Zaikov 1987:149-150,UT021,
UT022,Can aspect be expressed overtly in the negative marker?,0,Zaikov 1987:155-160,,
UT023,Can tense be expressed overtly in the negative marker?,0,Zaikov 1987:155-160,,
UT024,Is there grammatical marking of mirativity?,0,Zaikov 1987:140-170,,
UT025,Is there morphological marking on the verb dedicated to the expression of a desire or wish?,0,Zaikov 1987:140-170,,
UT026,Is there morphological marking on the verb dedicated to irrealis?,1,Zaikov 1987:152-154,"UT026-1, UT026-2",
UT027,Are verbs marked with a non-indicative mood in counterfactual conditional clauses?,1,Zaikov 1987:152-154,"UT027-1, UT027-2",
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,Zaikov 1987:140-170,,
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,0,Zaikov 1987:140-170,,
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,Zaikov 1987:140-170,,
UT031,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 3Sg?",0,Zaikov 1987:135-138,,
UT032,"Is there morphological marking on the verb used to direct commands/wishes, etc. to the 1Sg?",0,Zaikov 1987:135-138,,
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,Zaikov 1987:in passim,,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,Zaikov 1987:in passim,,
UT035,Is there a reflexive conjugation?,0,Zaikov 1987:140-170,,
UT037,Can non-singular 2nd and 3rd person have the same person/number marking or morphosyntactic treatment?,0,Zaikov 1987:140-147,,
UT039,Can the 3rd person plural verb form and impersonal (passive) verb form be encoded in the same way?,1,Zaikov 1987:140-147,UT039,
UT040,Are 2nd person singular verb forms commonly used with a generic meaning?,1,Zaikov 1987:140-147,UT040,
UT042,Can an infinitival verb form be used in a directive function?,?,Ilya Egorov (p.c. 2025),,"There is no evidence for main clauses with only infinitive predicates. However, their existence cannot be excluded, since they are possible in the better-documented neighbouring Saami languages."
UT043,Can verbs in purposive subordinate clauses be bare infinitive forms?,1,Zaikov 1987:in passim,UT043,
UT044,Are there sentences without overt verbal arguments?,0,Zaikov 1987:in passim,,"Ellipsis of the subject is common in the corpus. However, no predicates that do not express a subject by default have been attested. Predicates, which typically do not show an overt subject, such as weather verbs, use a different strategy in Akkala Saami. Keeping in mind a slight degree of uncertainty, this parameter can be marked as 0 in Akkala Saami."
UT045,Is a copula commonly used for predicate nominals in the 3rd person singular forms of the present tense?,0,Zaikov 1987:in passim,,
UT046,Is a copula commonly used for predicate nominals in the past tense?,1,Zaikov 1987:in passim,UT046,
UT047,Can locative constructions commonly occur without a copula?,1,Zaikov 1987:in passim,UT047,
UT048,"Is the same coordinating conjunction commonly used for NPs, VPs, and clauses?",1,Zaikov 1987:in passim,"UT048-1, UT048-2",
UT049,Does existential negation have a special negator?,0,Zaikov 1987:in passim,,
UT050,Can standard negation be asymmetric in the present tense?,1,Zaikov 1987:140-147,"UT050-1, UT050-2",
UT051,Can non-finite dependent clauses use the standard negation construction?,0,Zaikov 1987:160-170,,
UT052,Is there a special negator that combines with non-finite forms?,0,Zaikov 1987:160-170,,
UT053,Are there special negative non-finite forms?,1,Zaikov 1987:160-170,"UT053-1, UT053-2",
UT054,Is there an impersonal passive construction?,1,Zaikov 1987:in passim,UT054,
UT055,"Are there non-finite forms specializing in the relativization of particular core participants, e.g., subjects (S/A), direct objects (P), absolutive participants (S/P)?",1,Zaikov 1987:160-170,"UT055-1, UT055-2",
UT056,Are there non-finite forms that can relativize all core participants (S/A/P) and possibly also some non-core participants?,1,Zaikov 1987:160-170,"UT056-1, UT056-2, UT056-3",
UT057,Are there non-finite forms that can relativize at least some non-core participants but cannot relativize all core participants?,0,Zaikov 1987:160-170,,
UT058,"Is there a specialized negative participial form, which cannot be analyzed as a specific participial marker + negative marker?",1,Zaikov 1987:160-170,"UT053-1, UT058",
UT059,Is there a future participle?,0,Zaikov 1987:160-170,,
UT060,Are there participles that can encode their subject with possessive suffixes?,0,Zaikov 1987:160-170,,
UT062,Are there participles that must agree with the nouns they modify in case and number in all contexts?,0,Zaikov 1987:160-170,,
UT063,Are there non-finite forms that can be used both as participles and action nominalizations?,1,Zaikov 1987:160-170,"UT008-1, UT063",
UT064,Are there non-finite forms that can be used both as participles and agentive nominalizations?,1,Zaikov 1987:160-170,"UT055-1, UT064-1, UT064-2",
UT065,Are there non-finite forms that can be used both as participles and converbs?,0,Zaikov 1987:160-170,,"Such forms have not been found in Zaikov's grammar (1987) or text collection (1988). However, since the corpus is limited and such forms exist in very closely related languages, one cannot be completely sure of the absence of the non-finites in question. Keeping in mind a slight degree of uncertainty, this parameter can be marked as 0 in Akkala Saami."
UT066,Is OV the neutral order in affirmative imperative clauses?,0,Zaikov 1987:in passim,,
UT067,Is it possible to place an object between the negative marker and the main verb in imperative constructions?,0,Zaikov 1987:in passim,,
UT070,Is there diminutive (hypocoristic) marking on verbs?,0,Zaikov 1987:in passim,,
UT071,Can modifiers of action nominalizations in agent and patient roles both be encoded like possessors?,1,Zaikov 1987:169-170,"UT071-1, UT071-2, UT071-3","The non-finite form on -i͔m functions as both participle and action nominalisation. In both positions, core arguments are encoded with ACC/GEN."
UT072,Can the modifier of action nominalizations in the patient role be encoded like a direct object?,1,Zaikov 1987:160-170,"UT072-1, UT072-2",
UT073,Do core adjectives agree with the subject noun in number in the predicative position?,1,Zaikov 1987:in passim,"UT073-1, UT073-2",This question is not directly discussed in Zaikov's (1987) grammar. A survey of the available corpus (Kert and Zaikov 1988) allows to find at least some traces of agreement in the predicative position. Existing examples are not entirely convincing and a certain degree of uncertainty remains.
UT074,Is there a bound superlative degree marker on property words?,1,Zaikov 1987:138-140,"UT074-1, UT074-2, UT074-3",
UT075,Can adpositions have person/number marking?,0,Zaikov 1987:in passim,,"Person/number markers have been attested on adpositions in closely related languages. Their presence in Akkala Saami cannot be completely excluded. However, it is equally probable that they have completely disappeared long before the language was documented. Keeping in mind a slight degree of uncertainty, this parameter can be marked as 0 in Akkala Saami."
UT076,Are there adpositions that show a tripartite system?,0,Zaikov 1987:in passim; Genetz 1891:in passim,,
UT077,Is there case compounding?,0,Zaikov 1987:116-128,,
UT078,Are there morphological cases only used with pronouns?,0,Zaikov 1987:116-128,,
UT079,Does the numeral modification of a noun have an effect on its case selection?,1,Zaikov 1987:116-128,"UT079-1, UT079-2",
UT080,Is the singular form of the noun also used with numerals greater than 1?,1,Zaikov 1987:116-140,UT080,
