ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT005-1,a̭k͕̄t̜s̜ɛ karnassi̮d a̭ut̄ kā͕rnass̜t pa̭da̮ i ťš́a̭l̜m̄ɛ roŋ̄ᵍka̮,,a̭k͕̄t̜s̜ɛ karnass-i̮d a̭ut̄ kā͕rnas-s̜t pa̭da̮ i ťš́a̭l̜m̄ɛ roŋ̄ᵍka̮,nine raven-PRT one.GEN raven-LOC.SG buttocks.ACC.SG and eye.ACC.SG pick-PRS.3SG,Nine ravens pick at the buttocks and eye of another raven,Itkonen and Europaeus 1931:304-307
UT005-2,лi̮š́t mir i sogлas'je tagast tan˙n˙a čiллk kadɛmandɐs't˙,,лi̮š́t mir i sogлas'je tag-ast tan˙n˙-a čiллk kadɛmand-ɐs't˙,OPT peace and harmony make-MOM.PRS.3SG this-GEN.SG bright world-LOC.SG,May peace and harmony be in this bright world!,Kert 1961:170
UT014-1,"jeᵍki̮ńì pi̮əďì kol't́ɛ oлmi̮i̯ pī̮t́ì roźa, a̭ńᴅ́ì a̭лɢ̄ańi",,"jeᵍki̮ńì pi̮əď-ì kol't́ɛ oлmi̮i̯ pī̮t́ì roźa, a̭ńᴅ́-ì a̭лɢ̄-ań-i.",at.night come-PST.3SG golden man.NOM.SG bring-PST.3SG hourse.ACC.SG give-PST.3SG boy-DIM-DAT.SG,"At night, a golden man came, brought a horse, and gave it to the boy.",Sienkiewicz-Gudkova 1960
UT014-2,sii̯ poŕŕin i̮ən̄́ᴅ́t́š́as pe̮ᵍk‿kas i ȯaᴅti̮ški̮əᴅ́t́in,,sii̯ poŕŕ-in i̮ən̄́ᴅ́t́š́as pe̮ᵍk=kas i ȯaᴅt-i̮ški̮əᴅ́t́-in,3PL.NOM eat-PST.3PL meat.ACC.SG-POSS.3 all=PTCL and sleep-INCH-PST.3PL,They ate all the meat and went to sleep.,Sienkiewicz-Gudkova 1960
UT016,nan'tam šūr ki̮s's'e pɛdḓl'ev tɛk'ke jev sinɛ paih'kenɛs's'e,,nan'tam šūr ki̮s's'e pɛdḓ-l'-ev tɛk'ke jev sin-ɛ paih'kenɛs's'-e,such big guest.NOM.PL come-FRQ-PST.3PL only NEG.3PL 3PL-GEN place-DAT.SG,"Such great guests used to come, but not to their place",Kert 1961:169
UT017,sonn vi̮lχtɛlgɛdi͔ kali̮zai aih́ta,,sonn vi̮lχ-t-ɛl-gɛd-i͔ kali̮zai aih́t-a,3SG.NOM go.away-CAUS-FRQ-INCH-PST.3SG old.man.ACC.SG barn-DAT.SG,She started to send the old man to the barn [often],Szabó 1967:136
UT019-1,mii̯ tᵘona̮ suɢkлaᵍkaᵇp va̭n'z'in,,mii̯ tᵘon-a̮ suɢkлaᵍk-aᵇp va̭n'z'-in,1PL.NOM 2SG-ACC go.by.boat-PRS.1PL boat-COM.SG,We'll take you on a boat,Kert 1961:202
UT019-2,"kie muna̮ vìl'l'ɛ sā͕ᵍka, tȧs's'e mun ma̭nam ki̮i̯ji̮",,"kie mun-a̮ vìl'l'ɛ sā͕ᵍk-a, tȧs's'e mun ma̭n-am ki̮i̯j-i̮",who.NOM.SG 1SG-GEN brother.ACC.SG find-PRS.3SG this.DAT.SG 1SG.NOM go-PRS.1SG housband-DAT.SG,"Whoever gets my brother, I'll marry him",Kert 1961:204
UT021,tɛssɛl' kɛs l'anči jaллаmain˙ lin˙ ki̮kt˙ v'il'j,,tɛssɛl' kɛs l'anči jaлла-main˙ lin˙ ki̮kt˙ v'il'j,long.time.ago when INDEF live-PTCP.PST be.PST.3PL two brother.GEN.SG,"Once upon a time, there lived two brothers",Kert 1961:183
UT026-1,mȯn tȧ̀mme ju vī̮r̜ᵈt̜ėm li̮š tȯna̮s̜̄t tȧ̀ᴅ̜t̜ɛ mīli̮st lėɔ̄ťš́ė,,mȯn tȧ̀-mme ju vī̮r̜ᵈt̜-ėm li̮š tȯn-a̮s̜̄t tȧ̀ᴅ̜t̜ɛ mīli̮st lė-ɔ̄ťš́ė,1SG.NOM this-ACC.SG already wait-PST.1SG only 2SG-LOC this.NOM.SG favour.NOM.SG be-COND.3SG,I was looking forward to you doing me this favour.,Itkonen and Europaeus 1931:287-291
UT026-2,mon lėɔ̄ťš́ėᵐ tsārr je ā͕ɔ̄kam tsaritsa,,mon lė-ɔ̄ťš́ė-ᵐ tsārr je ā͕ɔ̄k-am tsaritsa,1SG.NOM be-COND-1SG tsar.NOM.SG and wife.NOM.SG-POSS.1 queen.NOM.SG,If only I were tsar and my wife gueen,Itkonen and Europaeus 1931:291-292
UT027-1,aлti̮n˙im' muni̮ ja pi̮dḓi͔ ji̮l'l'ih'či son jamadžim',,aлt-i̮n˙-im' mun-i̮ ja pi̮dḓ-i͔ ji̮l'-l'i-h'či son jama-dž-im',female.reindeer-DIM.NOM.SG-POSS.1 1SG-ACC and bring-PST.3SG NEG-be-COND 3SG.NOM die-COND-1SG,"My reindeer brought me home, if it wasn't for her I would have died.",Kert 1961:180
UT027-2,mij vɛлčim varra l'ič m'ingᴇm asta,,mij vɛл-č-im varr-a l'i-č m'in-gɛm asta,1PL.NOM go-COND-1PL forest-DAT.SG be-COND.3SG 1PL-LOC free.time.NOM.SG,We would go to the woods if we had the time,Tereshkin 2002:122
UT029,"moᵍk leń̄ᵈťš́e oл̄ma̮iᵈt, pi̮ə̑ᴅ̜̀t̜en",,"moᵍk le-ń̄ᵈťš́-e oл̄ma̮-iᵈt, pi̮ə̑ᴅ̜̀t̜-en",what.NOM.PL be-POT-3SG man-ACC.PL come-PST.3PL,What kind of people could it have been that came?,Itkonen and Europaeus 1931:304-307
UT031-1,t̜eed-a̮s̜,,t̜eed-a̮s̜,know-IMP.3SG,Let him know!,Sammallahti manuscript
UT031-2,śeer-a̮a,,śeer-a̮a,play-IMP.3SG,Let him play!,Sammallahti manuscript
UT200,koxt t'es't˙ pi̮n'n'ɐv koz uitɛv sint k'assa,,koxt t'es't˙ pi̮n'n'-ɐv koz uit-ɛv sin-t k'ass-a,how here herd-PRS.3PL where move-PRS.3PL 3PL-ACC summer.DAT.SG,"How one herds [reindeer] here, where one moves them to for the summer",Kert 1961:169
UT040,"mom kavni̮k, kɛśś ḱegen jellă",,"mom kavn-i̮k, kɛśś ḱe=gen jellă",what.ACC.SG find-PRS.2SG when who.NOM.SG=NEG.PTCL NEG.be.3SG,What can you find [there] when there is no one,Szabó 1967:152
UT201,vā͕rri̮ᵈ mist pȯagi̮,,vā͕rr-i̮ᵈ mist pȯagi̮,go.away-INF 1SG.LOC away,(To) go away from me!,Sienkiewicz-Gudkova 1960
UT043-1,mȯn tȧ̀l̜ tȯn̜n̜e a̭nᴅ̀am uš tīᴅ̜t̜eᵈ,,mȯn tȧ̀l̜ tȯn̜n̜-e a̭nᴅ̀-am uš tīᴅ̜t̜-eᵈ,1SG.NOM PTCL 2SG-DAT give-PRS.1SG PTCL know-INF,I'll give you [a hit] so you know how to [behave properly]!,Itkonen and Europaeus 1931:310-312
UT043-2,"kodťš́a̮i̯ jienna̭i̯ narodt, rāʙpaᵈ t'š́īŋles koʙa̮",,"kodťš́a̮-i̯ jienna̭i̯ narodt, rāBp-aᵈ t'š́īŋl-es koBa̮",call-PST.3SG many people dig-INF deep-ATTR hole.ACC.SG,He called many people to dig a deep hole,Kert 1961:203
UT202,sᵘon nḙᴅ't'š́e lei̯ moᴅ't'š́es sē̮л̄p nīi̯ᵈt,,sᵘon nḙᴅ't'š́e lei̯ moᴅ't'š́-es sē̮л̄p nīi̯ᵈt,3SG.NOM too be-PST.3SG beautiful-ATTR silver girl.NOM.SG,She was also a beautiful silver girl,Kert 1961:208
UT047-1,tan'n'i javr'es't jeni̮j ki̮l'e,,tan'n'-i javr'-es't jeni̮j ki̮l'-e,this-GEN.SG lake-LOC.SG many fish-PRT,There is a lot of fish in this lake,Tereshkin 2002:102
UT047-2,ȧiᵈt̜̄ɛ si̮z̜n̜ sȧ̀ɔ̄pliɳ͕̄ᵍk͕,,ȧiᵈt̜̄ɛ si̮z̜n̜ sȧ̀ɔ̄pliɳ͕̄ᵍk͕,barn.GEN.SG inside mouse.NOM.SG,There is a mouse in the barn,Itkonen and Europaeus 1931:284-285
UT048-1,ai̯ᵈtaśt lⁱev puorrum i lei̯ᵇpᴬ,,ai̯ᵈt-aśt lⁱe-v puorr-um i lei̯ᵇpᴬ,barn-LOC.SG be-PRS.3PL eat-PTCP.NOM and bread.NOM.SG,There is food and grain in the barn.,Sienkiewicz-Gudkova 1960
UT048-2,"sii̯ vi̮l̄'gḱin, vān̄́ᵈt́śav, vān̄́ᵈt́śav i pi̮əᴅ́t́in pa̭Ŕt́e",,"sii̯ vi̮l̄'gḱ-in, vān̄́ᵈt́ś-av, vān̄́ᵈt́ś-av i pi̮əᴅ́t́-in pa̭Ŕt́-e",3PL.NOM went.out-PST.3PL go-PRS.3PL go-PRS.3PL and come-PST.3PL house-DAT.SG,They went out and walked and walked and walked and came to the house,Sienkiewicz-Gudkova 1960
UT050-1,manam :ɛm man,,man-am :ɛm man,go-PRS.1SG :NEG.1SG go.CNG,I go :I don't go,"Tereshkin 2002:128, 132"
UT050-2,manak :ɛk man,,man-ak :ɛk man,go-PRS.2SG :NEG.2SG go.CNG,you go :you don't go,"Tereshkin 2002:128, 132"
UT053,kāʙ pork̀eȧnna stoašiki̮ə̑stamain,,kāʙ por-k̀eȧnna stoašiki̮ə̑sta-main,young.wife.NOM.SG eat-PTCP.NEG become.thin-PTCP.PST,The young wife became thin without eating,Itkonen and Europaeus 1931:307-310
UT054,nu kaǯ́it˙ uštɛ majt oārak oлkstaśt ńaʒaman˙,,nu kaǯ́-it˙ uštɛ majt oār-ak oлkst-aśt ńaʒa-man˙,PTCL ask-PRS.IPS PTCL what stay-PRS.2SG beam-LOC.SG hold-CVB,"[The bridegroom] is asked:Well, why are you standing with your hand on the beam?",Kert and Zaikov 1987:79
UT055-1,olmi̮ porri͔i ńi͔id ṕēză,,olmi̮ porr-i͔i ńi͔id ṕēză,man.GEN.SG eat-PTCP.PRS girl.GEN.SG about,About a girl eating people,Szabó 1967:140-141
UT055-2,vɛdḓɛi kabkanči čontki šur̭kl'in˙ čer'v'epåллi̮,,vɛdḓ-ɛi kabk-anč-i čontk-i šur̭kl'-in˙ čer'v'e-påллi̮,sleep-PTCP.PRS young.wife-DIM-DAT.SG throat-DAT.SG shove-PST.3PL horn-button.ACC.SG,They shoved a horn button down the throat of a sleeping young wife,Kert 1961:173
UT057-1,pi̮ə̑d̜ì sȯn̜n̜e aᵈz mī̮r̜j̀e ussa̮m ziì̭jɒ,,pi̮ə̑d̜ì sȯn̜n̜-e aᵈz mī̮r̜j̀e uss-a̮m ziì̭j-ɒ,come-PST.3SG 3SG-DAT Adz.NOM.SG berry.GEN.SG pick-PTCP place-DAT.SG,Adz came to him at the berry picking spot,Itkonen and Europaeus 1931:285-297
UT057-2,son l'aškkɛ peʒi̮it˙ l'ašk'em nurren˙,,son l'aškk-ɛ peʒi̮-it˙ l'ašk'-em nurr-en˙,3SG.NOM catch-PST.3SG reindeer-ACC.SG catch-PTCP rope-COM.SG,He caught reindeer with a harness,Kert 1971:206
UT058,porᵈt̜k͕eȧnnᵃ lɛm pȯra̮m ta̭l̜̄ jĭes̄kᴬ ju͕ɔ̄t̜egȯadam,,por-ᵈt̜-k͕eȧnnᵃ lɛm pȯr-a̮m ta̭l̜̄ jĭes̄kᴬ ju͕ɔ̄t̜e-gȯad-am,eat-CAUS-PTCP.NEG be.PRS-1SG eat-PRS.1SG PTCL then tell-INCH-PRS.1SG,"I'm humgry, I'll eat, and then tell you [the story]",Itkonen and Europaeus 1931:297-301
UT063-1,ᵛi̮ə̑ᴅt̜em ziì̭ja pi̮ᴅt jòrra̮ᵈ,,ᵛi̮ə̑ᴅt̜-em ziì̭j-a pi̮ᴅt jòrr-a̮ᵈ,sleep-PTCP place-DAT.SG need lie.down-INF,[You] need to go to bed,Itkonen and Europaeus 1931:297-301
UT063-2,kie pȯaᴅta kà͕л̀лazań̄ᵈťš́e ᵛi̮ə̑ᴅ̜t̜em gi̮ə̑iᵍk son pā͕ɔ̄kᴬ màī̭na̮zi̮ ju͕ɔ̄t̜eᵈ,,kie pȯaᴅt-a kà͕л̀лaz-ań̄ᵈťš́-e ᵛi̮ə̑ᴅ̜t̜-em gi̮ə̑iᵍk son pā͕ɔ̄k-ᴬ màī̭na̮z-i̮ ju͕ɔ̄t̜-eᵈ,who.NOM.SG come-PRS.1SG old.man-DIM-DAT.SG sleep-PTCP for 3SG.NOM order-PRS.3SG story-ACC.SG tell-INF,"Whoever comes to the old man to sleep, he orders [him] to tell a story.",Itkonen and Europaeus 1931:297-301
UT064,vì̮ᵍk͕ėᵐ лi̮ī̭’k͕ėiᵈt ko̬ɔ̄ťš́ɒᵈ ā͕ɔ̄kam jā͕mì,,vì̮ᵍk͕-ėᵐ лi̮ī̭’k͕-ėi-ᵈt ko̬ɔ̄ťš́-ɒᵈ ā͕ɔ̄k-am jā͕m-ì,go.out-PST.1SG weep-PTCP.PRS-ACC.PL call-INF wife.NOM.SG-POSS.1 die-PST.1SG,"I went to call the weepers, my wife died",Itkonen and Europaeus 1931:292-296
UT073-1,tiuᴅ̀s :tiṷ̄ᵈta̮zⁱ,,tiuᴅ̀-s :tiṷ̄ᵈt-a̮zⁱ,full-PRED.SG :full-PRED.PL,(it is) full :(they are) full,Itkonen 1958:595
UT073-2,nī̮rrᵃ :nī̮ra̮,,nī̮rrᵃ :nī̮r-a̮,young.PRED.SG :yuong-PRED.PL,(she is) young :(they are) young,Itkonen 1958:288
UT074-1,nī̮rma̮s,,nī̮r-ma̮s,young-SUP,the youngest,Itkonen 1958:288
UT074-2,kuɢ͕k͕ema̮s,,kuɢ͕k͕e-ma̮s,long-SUP,the longest,Itkonen 1958:162
UT075-1,jog gi̮rst årr moʒ'is' par̭t,,jog gi̮r-st årr moʒ'i-s' par̭̄t,river.GEN.SG near-LOC.SG stay.PRS.3SG beautiful-ATTR house.NOM.SG,There is a house by the river.,Kert 1971:218
UT075-2,jog gi̮rn l'ii̭n si̮id̄,,jog gi̮r-n l'ii̭-n si̮id̄,river.GEN.SG near-LOC.PL be-PST.3SG village.NOM.PL,There are villages by the rivers.,Kert 1971:218
UT079,a̭k͕̄t̜s̜ɛ karnassi̮d:a̭k̄t kā͕rnas,,a̭k͕̄t̜s̜ɛ karnass-i̮d:a̭k̄t kā͕rnas,nine raven-PRT :one raven.NOM.SG,nine ravens :one raven,Itkonen and Europaeus 1931:304-307
UT080,a̭k̄t kā͕rnas a̭k͕̄t̜s̜ɛ kā͕rnass̜t ťš́a̭l̜m̄ɛ je pa̭da̮ roŋ̄ᵍka̮,,a̭k̄t kā͕rnas a̭k͕̄t̜s̜ɛ kā͕rnas-s̜t ťš́a̭l̜m̄ɛ je pa̭da̮ roŋ̄ᵍk-a̮,one raven nine raven-LOC.SG eye.ACC.SG and buttocks.ACC.SG pick-PRS.3SG,One raven picks at the buttocks and eyes of nine ravens,Itkonen and Europaeus 1931:304-307
UT084-1,jogta mi͔i jebʙ ši̮l' kī̮l'e,,jog-ta mi͔i jebʙ ši̮l' kī̮l'e,river-ABE.SG 1PL.NOM NEG.1PL catch.CNG fish.ACC.SG,We cannot fish without a river,Szabó 1968:97
UT084-2,mom tagɢoāda alganta,,mom tag-ɢoād-a alg-an-ta,what.ACC.SG do-INCH-PRS.1SG son-POSS.1-ABE.SG,What will I do without my son?,Szabó 1968:40
UT086,soaŋă paʀʀti͔,,soaŋ-ă paʀʀt-i͔,come.in-IMP.SG house-DAT.SG,Сome (in)to the house!,Szabó 1968:99
UT090-1,jenntɛ mu̙nn vɛllka tanne paʀst pāgi̮,,jenntɛ mu̙nn vɛllk-a tann-e paʀ-st pāgi̮,tomorrow 1SG.NOM go.away-PRS.1SG this-GEN.SG house-LOC.SG away,Tommorow I will go away from this house,Szabó 1967:144
