ID,Name,North.Saami,Source,Example,Comment
UT001,Is there a distinct category of dual for verbal agreement with a dual subject?,1,Aikio 2009: 54,Moai Máhtiin vulge gávpái;1DU Matthew.COM leave.1DU store.ILL;Me and Matthew are going to the store;|Boahtibeahttigo doai Iŋggáin fárrui?;come.2DU.Q 2DU Ingá.COM along;Are you and Iŋgá coming along?;,
UT002,Is non-agreement in number between the nominal subject and verbal predicate possible?,0,"Jussi Ylikoski, p.c.",,
UT003,Can finite verbs agree in number with the nominal object?,0,"Jussi Ylikoski, p.c.",,
UT004,Can an adnominal property word agree with the noun in case?,0,"Jussi Ylikoski, p.c.",,"The only adjective that agrees with the noun in case (and number) is buorre 'good', but it does not fully agree in all cases. E.g., buorre ovdamearka (good.NOM example.NOM), buori ovdamearkka (good.GENACC example.GENACC), buriin ovdamearkkain (good.COM example.COM), but buori ovdamearkkas (good.GENACC example.LOC). Additionally, many if not most present-day speakers (and even language authorities) use the non-declined buorre (NOM) in all cases."
UT005,Are there cases that do not show agreement in terms of case?,1,"Jussi Ylikoski, p.c.",dán buori biillas;this.GENACC good.GENACC car.LOC;in this good car;,"There are cases that do not show full agreement, but have genitive modifiers instead."
UT006,Can adpositions be used to mark core verbal arguments?,0,"Jussi Ylikoski, p.c.",,
UT007,Can adpositions be used to mark non-core/oblique verbal arguments?,1,Aikio 2009: 165,Kás'sa lea beavddi vuolde;box be.3SG table.GEN under.LOC;The box is under the table;,
UT008,Can non-finite clauses entail a special way for a core argument (S/A) marking?,1,"Jussi Ylikoski, p.c.",Máreha boađedettiin;Máret.GENACC come.CVB;when Máret came;,
UT009,Can non-finite clauses entail a special way for a core argument (P) marking?,0,"Jussi Ylikoski, p.c.",,
UT010,"Do characteristics of object referent (topicality, animacy, definiteness) influence object marking?",0,"Jussi Ylikoski, p.c.",,
UT011,Does object marking correlate with aspectuality?,0,"Jussi Ylikoski, p.c.",,
UT012,Does the marking of the object depend on the verb conjugation form?,0,"Jussi Ylikoski, p.c.",,
UT013,Is there differential subject marking?,0,"Jussi Ylikoski, p.c.",,
UT014,"Can S and A be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",1,"Jussi Ylikoski, p.c.",,
UT015,"Can S and P be conflated morphologically across clause boundaries, i.e. act as syntactic pivot?",0,"Jussi Ylikoski, p.c.",,
UT016,Is there a grammatical device for habituality?,0,"Jussi Ylikoski, p.c.",,
UT017,Is there a grammatical device for frequentative?,1,"Jussi Ylikoski, p.c.;Sammallahti 1998: 92[example]",láhppit > láhp-ad-it;;lose > lose (many objects);|čohkánit > čohkán-adda-t;;sit down > sit down (of many);|báhčit > báhč-al-it;;shoot > shoot (many times);,There are many derivational suffixes with frequentative meaning.
UT018,Is there a grammatical device for progressivity?,1,Ylikoski 2009: 40,Piera lea ~ le-i juhka-min vuola;Piera be.3SG ~ be-PST.3SG drink-ACTESS beer.GENACC;Piera is ~ was drinking beer;,
UT019,Is it common to use a verb in the present tense for future time reference?,1,Aikio 2009: 134[example1];Aikio 2009: 168[example2],"Mun vuoššan gáfe, jugažehpet dahje ehpet;1SG cook.1SG coffee.GEN drink.DUB.2PL or NEG.2PL;I will cook coffee, no matter whether you (pl.) will drink it or not;4|Máhtte boahtá vahku geažes;Matthew come.3SG week.GEN in;Matthew will come in a week;",
UT020,Is there a grammatical device for immediate future?,1,"Jussi Ylikoski, p.c.",Toga lea (aiddo) vuolgi-min;train be.3SG (just) leave-PROG;The train is about to leave;,The adverb aiddo 'just' makes the prxoimative function of the progressive (”action essive”) form even more explicit.
UT021,Is there a grammatical device for pluperfect?,1,Aikio 2009: 124,le-imme geahčča-n;be-PST.1DU watch-PST.PTCP;we two had watched;,
UT022,Can aspect be expressed overtly on the negative marker?,0,"Jussi Ylikoski, p.c.",,
UT023,Can tense be expressed overtly on the negative marker?,0,"Jussi Ylikoski, p.c.",,
UT024,Is there grammatical marking of mirativity?,0,"Jussi Ylikoski, p.c.",,
UT025,Is there morphological marking on the verb dedicated to the expression of desire or wish?,0,"Jussi Ylikoski, p.c.",,
UT026,Is there morphological marking for irrealis (e.g. hypothetical state of affairs)?,1,Ylikoski 2009: 172,Dasgo jos muhtun makedonia-lačča-t boađá-š-edje mu fárus;for if some Macedonia-ADJ-PL come-COND-3PL 1SG.GENACC with;For if any Macedonians come with me […];,
UT027,Are verbs marked in a specific mood in counterfactual conditional clauses?,1,Aikio 2009: 131,"Livččiime vuolgán gávpogii, jos ii livčče arván:be.1DU.COND leave.PST.PTCP city.ILL if NEG.3SG be.COND.CNG rain.PST.PTCP;We would have gone to the city if it had not rained;",
UT028,Is there morphological marking on the verb dedicated to the expression of deontic necessity?,0,"Jussi Ylikoski, p.c.",,
UT029,Is there morphological marking on the verb dedicated to the expression of epistemic possibility?,1,"Jussi Ylikoski, p.c.;Sammallahti 2005: 145[example]",Niillas leažžá boahti-me;Niillas be.POT.3SG come-PROG;Niillas might be coming;,"The so-called potential mood is somewhat different from its namesake in Finnish, but sometimes fits into this category."
UT030,Is there morphological marking on the verb dedicated to the expression of deontic possibility?,0,"Jussi Ylikoski, p.c.",,
UT031,Is there morphological marking on the verb used to express indirect commands/wishes etc. directed to the 3Sg?,1,Aikio 2009: 128,Vulgos Máhtte baicce;leave.IMP.3SG Matthew instead;Let Matthew go instead;,
UT032,Is there morphological marking on the verb used to express indirect commands/wishes etc. directed to the 1Sg?,0,"Jussi Ylikoski, p.c.",,
UT033,Is it common to use the imperative/jussive in complement clauses introduced by predicates expressing wish/desire/will?,0,"Jussi Ylikoski, p.c.",,
UT034,Is there morphological marking on the verb dedicated to the expression of apprehension?,0,"Jussi Ylikoski, p.c.",,
UT035,Is there reflexive conjugation?,0,"Jussi Ylikoski, p.c.",,
UT036,Are there syntactically ditransitive verbs?,0,"Jussi Ylikoski, p.c.",,"However, in some Torne dialects, causative verbs take two objects: Niillas daga-h-ii rávdi niibbi (Niillas make-CAUS-PST.3SG smith.GENACC knife.GENACC). Cf. other dialects: Niillas daga-h-ii rávdái niibbi (Niillas make-CAUS-PST.3SG smith.ILL knife.GENACC) ’Niillas made the smith make him a knife.’"
