ID,Feature,Value,Source,Comment,Example
GB020,Are there definite or specific articles?,?,"Winkler 2011:35, 66",Can be marked with Px (Winkler 2011:66).,
GB021,Do indefinite nominals commonly have indefinite articles?,0,Winkler 2011:35,,
GB022,Are there prenominal articles?,0,Winkler 2011:35,,
GB023,Are there postnominal articles?,?,Winkler 2011:66,Can be marked with Px (Winkler 2011:66).,
GB024,What is the order of numeral and noun in the NP?,1,Winkler 2011:38,,GB024
GB025,What is the order of adnominal demonstrative and noun?,1,Bartens 1999:163,,GB025
GB026,Can adnominal property words occur discontinuously?,0,"Winkler 2001, 2011; Bartens 1999:in passim",,
GB027,Are nominal conjunction and comitative expressed by different elements?,1,"Winkler 2011:54, 55, 137","However, instrumental(-comitative) case ""can be used as a coordination marker, coordinanting subjects (rarely direct objects or other arguments)"" (Edygarova 2022:511).",
GB028,Is there an inclusive/exclusive distinction?,1,Winkler 2011:71,"The reflexive pronoun aśmeos is used as an inclusive 'we' ('I/we + hearer(s)'), while the personal pronoun mi cannot be used with the inclusive meaning.",
GB030,Is there a gender distinction in independent 3rd person pronouns?,0,Winkler 2011:68-69,,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?,0,Winkler 2011:36,,
GB035,Are there three or more distance contrasts in demonstratives?,0,Winkler 2011:73,There is only proximal vs. distal distinction: ta 'this (here)' vs. distal so 'that (there)'.,
GB036,Do demonstratives show an elevation distinction?,0,Winkler 2011:73,There is only proximal vs. distal distinction: ta 'this (here)' vs. distal so 'that (there)'.,
GB037,Do demonstratives show a visible-nonvisible distinction?,0,Winkler 2011:73,There is only proximal vs. distal distinction: ta 'this (here)' vs. distal so 'that (there)'.,
GB038,Are there demonstrative classifiers?,0,Winkler 2011:73-74,,
GB039,Is there nonphonological allomorphy of noun number markers?,0,Winkler 2011:36,,
GB041,Are there several nouns (more than three) which are suppletive for number?,0,Winkler 2011:39,indirectly mentioned,
GB042,Is there productive overt morphological singular marking on nouns?,0,Winkler 2011:36,,
GB043,Is there productive morphological dual marking on nouns?,0,Winkler 2011:36,"indirectly mentioned; paired nouns like 'eyes', 'ears' usually appear in sg (see Winkler 2011:37).",
GB044,Is there productive morphological plural marking on nouns?,1,Winkler 2011:37,There is allomorphy in the plural marking: the suffix -jos- is attached after consonants and the suffix -os- after vowels.,"GB044-1, GB044-2"
GB046,Is there an associative plural marker for nouns?,1,Winkler 2011:37,Simple plural marker can take this function.,"GB046-1, GB046-2"
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,1,Winkler 2011:89,,"GB047-1, GB047-2"
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,1,Winkler 2011:89,,GB048
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,1,Winkler 2011:89,,GB049
GB051,Is there a noun class/gender system where sex is a factor in class assignment?,0,Winkler 2011:36,,
GB052,Is there a noun class/gender system where shape is a factor in class assignment?,0,Winkler 2011:36,,
GB053,Is there a noun class/gender system where animacy is a factor in class assignment?,0,Winkler 2011:36,,
GB054,Is there a noun class/gender system where plant status is a factor in class assignment?,0,Winkler 2011:36,,
GB057,Are there numeral classifiers?,0,Winkler 2011:in passim,,
GB058,Are there possessive classifiers?,0,Winkler 2011:in passim,,
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,1,Edygarova 2022:512,"Besides the morphological distinction, e.g. йырыд /jɨr-ɨd/ 'your head', vynyd /vin-ɨd/ 'your younger brother' vs. коркаед /korka-jed/ 'your house', there are differences regarding the constructions: inalienable N:NOM + N, alienable N:ELA + N",
GB065,What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?,1,Winkler 2011:65,,GB065
GB068,"Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",0,"Winkler 2011:81, 83",,
GB069,"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",0,Winkler 2011:82-83,,
