ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB024-1,Mužikal igiä on vuottu viizikümmen,,mužika-l igi-ä on vuot-tu viizikümmen,man-ADE age-PRT ∅ year-PRT fifty,The man is about fifty years old,Pyöli 2021:175
GB024-2,Mužikal igiä on viizikümmen vuottu,,mužika-l igi-ä on viizikümmen vuot-tu,man-ADE age-PRT ∅ fifty year-PRT,The man is fifty years old,Pyöli 2021:175
GB025,tämä säveldäi,,tämä säveldäi,this composer,this composer,Pyöli 2021:65
GB027-1,silmät da(i) korvat,,silmä-t da(i) korva-t,eye-PL and ear-PL,eyes and ears,Pyöli 2021:147
GB027-2,Mužikku akanke lähtiettih külüh,,mužikku aka-nke lähtie-ttih külü-h,man wife-COM go-IPS.PST sauna-ILL,A man went to the sauna with his wife,Pyöli 2021:48
GB044,čomat tütöt,,čoma-t tütö-t,beautiful-PL girl-PL,beautiful girls,Pyöli 2021:52
GB047,ostua : ostamine,,ostu-a : osta-mine,buy-INF1 : buy-NMLZ,to buy : buying,Pyöli 2021:179
GB048,opastua : opastui,,opastu-a : opastu-i,study-INF1 : study-AG.NMLZ,to study : student,Pyöli 2021:179
GB049,avata : avain,,ava-ta : ava-in,open-INF1 : open-NMLZ,to open : key,Pyöli 2021:179
GB070,Ruadajat kohendetah taloidu,,ruadaja-t kohende-tah taloi-du,worker-PL repair-IPS.PR house-PRT,Workers are repairing the house,Pyöli 2021:38
GB071,Hüö nähtih teidü laukas,,hüö näh-tih tei-dü lauka-s,3PL see-IPS.PST 2PL-PRT store-INE,They saw you in the store,Pyöli 2021:64
GB072,Noskua nügöi postelis,,nos-kua nügöi posteli-s,get_out-IMP.2PL now bed-ELA,Get out of bed now,Pyöli 2021:42
GB073,minuttah jo maltatto ruadua,,minu-ttah jo malta-tto ruadu-a,1SG-ABE already know-2PL work-INF1,You already know how to work without me,Pyöli 2021:64
GB074,lähäl järvie,,lähäl järvie,near lake.PRT,near the lake,Pyöli 2021:146
GB075,stolan al,,stola-n al,table-GEN under,under the table,Pyöli 2021:141
GB083,andua : annoin,,andu-a : anno-i-n,give-INF1 : give-PST-1SG,to give : I gave,Pyöli 2021:84
GB089,juosta: juoksen,,juos-ta: juokse-n,run-INF1 : run-1SG,to run : I run,Pyöli 2021:73
GB091,minä suvaičen händü,,minä suvaiče-n händü,1SG love-1SG 3SG.PRT,I love her/him,Pyöli 2021:38
GB113,itkie : itkettiä,,itki-e : itke-ttiä,cry-INF1 : cry-CAUS.INF1,to cry : to make someone cry,Pyöli 2021:182
GB117,Koiru on ristikanzan paras üstävü,,koiru on ristikanza-n paras üstävü,dog be.3SG man-GEN best friend,A dog is man's best friend,Pyöli 2021:166
GB119-1,Minä olizin lugenuh sen kirjan,,minä ol-izi-n luge-nuh se-n kirja-n,1SG be-COND-1SG read-ACT.PST.PTCP DEM-GEN book-GEN,I would have read that book,Pyöli 2021:95
GB119-2,osudikkoa älgeä,,osudi-kkoa äl-geä,disparage-IMP.2PL NEG-IMP.2PL,don't you mind,Torikka 2009:sokevus
GB121,"rojuo oĺi ĺinnas tuonnuh, ńiil makluittšou",,"rojuo oĺ-i ĺinna-s tuo-nnuh, ńii-l makluittšou",stuff.PRT be-PST.3SG bring-ACT.PST.PTCP DEM.PL-ADE trade.3SG,"he had brought stuff from the city, and trades in these things",KKVS:makluija
GB130,Lapset juoksendellah pihal,,lapse-t juoksendel-lah piha-l,child-PL run-IPS yard-ADE,Children are running in the yard,Pyöli 2021:81
GB132,Müö süömmö murginua,,müö süö-mmö murginu-a,1PL eat-1PL breakfast-PRT,We are eating breakfast,Pyöli 2021:165
GB134,"Muamo tahtos, ku lapset putilleh opastuttas",,"muamo tahto-s, ku lapse-t putilleh opastu-tta-s",mom want-COND.3SG that child-PL properly study-IPS-COND,Mom would like her children to study properly,Pyöli 2021:156
GB135-1,Niilöi vuozii puaksuh mustelen,,nii-löi vuozii puaksuh mustele-n,DEM.PL-PL.PRT year.PL.PRT often remember-1SG,I often remember those years,Pyöli 2021:169
GB135-2,"Mustelen, kui enne elettih",,"mustele-n, kui enne ele-ttih",remember-1SG how before live-IPS.PST,I remember how we used to live,Pyöli 2021:149
GB138,en minä yötä laske sinuu,,e-n minä yö-tä laske sinuu,NEG-1SG 1SG night-ABE let_go.CNG 2SG.PRT,I won't let you go without staying overnight,Torikka 2009:ei
GB139-1,et peze,,e-t peze,NEG-2SG wash.CNG,you don't wash,Pyöli 2021:83
GB139-2,Älä nimidä küzele!,,älä nimidä küzele,NEG.IMP.2SG nothing ask-FRQ.CNG,Don't ask anything!,Pyöli 2021:111
GB147,Enne oli vähä ostettuu sobua,,enne ol-i vähä oste-ttuu sobu-a,before be-PST.3G few buy-IPS.PST.PTCP cloth-PRT,There were few clothes purchased before,Pyöli 2021:135
GB185,nuat turistat,,nuat turista-t,DEM.PL tourist-PL,these tourists,Pyöli 2021:65
GB187-1,poigaine,,poiga-ine,boy-DIM,little/dear boy,Pyöli 2021:178
GB187-2,lapsut,,laps-ut,child-DIM,little/dear child/baby,Pyöli 2021:178
GB187-3,järvikkö,,järv-ikkö,lake-DIM,little lake,Pyöli 2021:178
GB193,čoma tüttö,,čoma tüttö,beautiful girl,beautiful girl,Pyöli 2021:52
GB203,kai hüvä,,kai hüvä,all good,all good,Pyöli 2021:69
GB204-1,kai kučutut gost'at,,kai kučutu-t gost'a-t,all invited-PL guest-PL,all invited guests,Pyöli 2021:135
GB204-2,joga koiru,,joga koiru,every dog,every dog,Pyöli 2021:69
GB252,Meil on vähä muadu,,mei-l on vähä mua-du,1PL-ADE be.3SG land-PRT,We have little land,Pyöli 2021:159
GB257,Ellendät taki minun problieman?,,ellendä-t taki minu-n probliema-n,understand-2SG PTCL 1SG-GEN problem,"You understand my problem, right?",Pyöli 2021:140
GB264,Luvitgo jo tämän kirjan?,,luv-i-t-go jo tämä-n kirja-n,read-PST-2SG-Q already DEM-GEN book-GEN,Have you read this book already?,Pyöli 2021:149
GB273,huabu on korgiembi ku(i) koivu,,huabu on korgie-mbi ku(i) koivu,aspen be.3SG tall-CMPR CONJ birch,the aspen is taller than the birch,Pyöli 2021:54
GB275,vilumbi,,vilu-mbi,cold-CMPR,colder,Pyöli 2021:53
GB305,Häi pidäü ičen hüväs kunnos,,häi pidäü iče-n hüvä-s kunno-s,3SG keep.3SG REFL-POSS.1SG good-INE shape-INE,S/he keeps himself in good shape,Pyöli 2021:70
GB312,Minä lugizin sen kirjan,,minä lug-izi-n se-n kirja-n,1SG read-COND-1SG DEM-GEN book-GEN,I would read the book,Pyöli 2021:95
GB327,"Mužikku, kudamua tervehtin, on minun susiedu",,mužikku kudamu-a terveht-i-n on minu-n susiedu,man who-PRT greet-PST-1SG be.3SG 1SG-GEN neighbor,The man I greeted is my neighbor,Pyöli 2021:157
GB333,kümmene : kolmekümmen,,kümmene : kolme-kümmen,ten : three-ten,ten : thirty,Pyöli 2021:57
GB408-1,Müö süömmö murginua,,müö süö-mmö murginu-a,1PL eat-1PL breakfast-PRT,We are eating breakfast,Pyöli 2021:165
GB408-2,Müö vastevai tulimmo linnaspäi,,müö vastevai tul-i-mmo linnaspäi,1PL just come-PST-1PL town-ELA,We just came from the town,Pyöli 2021:169
GB432,minun poigu,,minu-n poigu,1SG-GEN son,my son,Pyöli 2021:151
GB433,poigani,,poiga-ni,son-POSS.1SG,my son,Pyöli 2021:151
GB522,Ajelemmo duačale joga nedälinlopukse,,aj-ele-mmo duača-le joga nedälinlopu-kse,drive-FRQ-1PL cottage-ADE every weekend-TRA,We go to the cottage every weekend,Pyöli 2021:in passim
