ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB020,az eresz,,az eresz,DEF.ART eaves.NOM,the eaves,Balogh et al. 2000: 283
GB021,egy macska,,egy macska,INDF.ART cat.NOM,a cat,Balogh et al. 2000: 284
GB022,a Magyar Köztársaság,,a Magyar Köztársaság,DEF.ART Hungary Republic,the Republic of Hungary,Balogh et al. 2000: 283
GB024,két macska,,két macska,two cat.NOM,two cats,Korchmáros 2009: 79
GB025,ez a szoba,,ez a szoba,this DEF.ART room.NOM,this room,Korchmáros 2009: 130
GB027-1,Péter meg a többiek,,Péter meg a többi-ek,Peter and the other-PL,Peter and the others,Korchmáros 2009: 163
GB027-2,Sárával együtt,,Sárá-val együtt,Sarah-COM together,he together with Sarah,Korchmáros 2009: 72
GB044,erdők,,erdő-k,forest-PL,forests,Korchmáros 2009: 80
GB046 ,Jánosék,,János-ék,János-APL,János and his associates,Korchmáros 2009: 82
GB047 ,érzés,,érz-és,feel-AN,feeling,Korchmáros 2009: 226
GB048 ,tudós,,tud-ós,know-AGN,scientist,Korchmáros 2009: 229
GB049 ,írás,,ír-ás,write-OBJ.NMLZ,writing,Korchmáros 2009: 228
GB057 ,hét szem gyógyszer,,hét szem gyógyszer,seven eye.CL medicine ,seven pills,Csirmaz and Dékány 2014: 141–160
GB065-1,a Péter kalapja,,a Péter kalap-ja,DEF.ART Peter.NOM hat-POSS.3SG,Peter’s hat,Kenesei et al. 1998: 94
GB065-2,Péternek a kalapja,,Péter-nek a kalap-ja,Peter-DAT DEF.ART hat-POSS.3SG,Peter’s hat,Kenesei et al. 1998: 94
GB070 ,tudom a választ,,tud-om a válasz-t,know-1SG.OC DEF.ART answer-ACC,I know the answer,Kenesei et al. 1998: 197
GB071 ,Márta egy sálat vett magának,,Márta egy sál-at ve-tt magá-nak,Martha INDF.ART scarf-ACC buy-PSTX.3SG.INDF him/herself-DAT,Martha bought a scarf for herself,Kenesei et al. 1998: 272
GB072,a gyerek-ek nem figyel-t-ek a tanár-ra,,a gyerek-ek nem figyel-t-ek a tanár-ra,DEF.ART child-PL not pay.attention-PST-3PL.INDF DEF.ART teacher-SUBL,the children didn’t pay attention to the teacher,Kenesei et al. 1998: 200
GB073,bízzatok magatokban,,bíz-z-atok magatok-ban,trust-IMP-2PL.INDF yourselves-INE,trust yourselves,Kenesei et al. 1998: 272
GB075 ,Péter elnök gyanánt viselkedett,,Péter elnök gyanánt viselked-ett,Peter chairman like behave-PST.3SG,Peter chairman like behaved,Kenesei et al. 1998: 9
GB079 ,elolvastad a könyvet?,,el-olvas-t-ad a könyv-et?,PFX-read-PST-2SG.OC DEF.ART book-ACC,have you finished reading the book?,Kenesei et al. 1998: 300
GB080-1,hallgat,,hallgat,hear.DUR,listen,Kenesei et al. 1998: 306
GB080-2,nézeget ,,nézeget ,look.ITER,look repeatedly,Kenesei et al. 1998: 303
