ID,Feature,Value,Source,Comment,Example
GB020,Are there definite or specific articles?,1,Lytkin 1962:198-199,Marked with Px (cf. GB065).,GB023
GB021,Are there indefinite or non-specific articles?,0,Lytkin 1962:in passim,,
GB022,Are there prenominal articles?,0,Lytkin 1962:in passim,,
GB023,Are there postnominal articles?,1,Lytkin 1962:198-199,Marked with Px (cf. GB065).,GB023
GB024,What is the order of numeral and noun in the NP?,1,Lytkin 1962:227,0 for giving an approximate number,GB024
GB025,What is the order of adnominal demonstrative and noun?,1,Lytkin 1962:238,,GB025
GB026,Can adnominal property words occur discontinuously?,0,Lytkin 1962:in passim,,
GB027,Are nominal conjunction and comitative expressed by different elements?,1,"Lytkin 1962:188, 310",,"GB027-1, GB027-2"
GB028,Is there a distinction between inclusive and exclusive?,0,Lytkin 1962:in passim,,
GB030,Is there a gender distinction in phonologically independent third person pronouns?,0,Lytkin 1962:in passim,,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun or person index system?,0,Lytkin 1962:in passim,,
GB035,Are there three or more distance contrasts in adnominal demonstratives?,0,Lytkin 1962:238,,
GB036,Do adnominal demonstratives show an elevation distinction?,0,Lytkin 1962:in passim,,
GB037,Do adnominal demonstratives show a visible-nonvisible distinction?,0,Lytkin 1962:in passim,,
GB038,Are there demonstrative classifiers?,0,Lytkin 1962:in passim,,
GB039,Is there nonphonological allomorphy of noun number markers?,0,Lytkin 1962:in passim,,
GB041,Are there several nouns (more than three) which are suppletive for number?,0,Lytkin 1962:in passim,,
GB042,Is there a productive overt morphological singular marker on nouns?,0,Lytkin 1962:181,,
GB043,Is there a productive morphological dual marker on nouns?,0,Lytkin 1962:in passim,,
GB044,Is there a productive morphological plural marker on nouns?,1,Lytkin 1962:181,,GB044
GB046,Is there an associative plural marker for nouns?,1,Lytkin 1962:181,"In case of proper names, plural marker takes this function.",GB046
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,1,Lytkin 1962:205,,GB047
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,1,Lytkin 1962:205,,GB048
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,1,Lytkin 1962:205,,GB049
GB051,Is there a noun class/gender system where masculine and feminine categories are a factor in class assignment?,0,Lytkin 1962:in passim,,
GB052,Is there a noun class/gender system where shape is a factor in class assignment?,0,Lytkin 1962:in passim,,
GB053,Is there a noun class/gender system where animacy is a factor in class assignment?,0,Lytkin 1962:in passim,,
GB054,Is there a noun class/gender system where plant status is a factor in class assignment?,0,Lytkin 1962:in passim,,
GB057,Are there numeral classifiers?,0,Lytkin 1962:in passim,,
GB058,Are there possessive classifiers?,0,Lytkin 1962:in passim,,
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,0,Lytkin 1962:in passim,,
GB065,What is the pragmatically unmarked order of adnominal possessor and possessed noun?,1,Lytkin 1962:185,,GB065
GB068,"Do property words (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",0,Lytkin 1962:in passim,,
GB069,"Do adnominal property words (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",0,Lytkin 1962:in passim,,
GB070,"Are there morphological cases for non-pronominal core arguments (i.e. S, A or P)?",1,Lytkin 1962:185,,GB070
GB071,"Are there morphological cases for phonologically independent personal pronominal core arguments (i.e. S, A or P)?",1,Lytkin 1962:233-235,,GB071
GB072,"Are there morphological cases for oblique non-pronominal NPs (i.e. not S, A or P)?",1,Lytkin 1962:182-193,,GB072
GB073,"Are there morphological cases for phonologically independent oblique personal pronouns (i.e. not S, A or P)?",1,Lytkin 1962:233-235,,GB073
GB074,Are there prepositions?,0,Lytkin 1962:301,,
GB075,Are there postpositions?,1,Lytkin 1962:301,,GB075
GB079,"Do verbs have prefixes or proclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",0,Lytkin 1962:in passim,,
GB080,"Do verbs have suffixes or enclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",1,Lytkin 1962:258,,GB080
GB081,Is there productive infixation in verbs?,0,Lytkin 1962:in passim,,
GB082,Is there overt morphological marking of present tense on verbs?,1,Lytkin 1962:251-252,,GB082
GB083,Is there overt morphological marking on the verb dedicated to past tense?,1,Lytkin 1962:252,,GB083
GB084,Is there overt morphological marking on the verb dedicated to future tense?,0,Lytkin 1962:251,Only 3SG and 3PL can be marked for the future tense.,
GB086,Is a morphological distinction between perfective and imperfective aspect available on verbs?,1,Lytkin 1962:260-261,,GB086
GB089,Can the S argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,1,Lytkin 1962:246,,GB089
GB090,Can the S argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Lytkin 1962:in passim,,
GB091,Can the A argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,1,Lytkin 1962:253,,GB070
GB092,Can the A argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Lytkin 1962:in passim,,
GB093,Can the P argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,0,Lytkin 1962:in passim,,
GB094,Can the P argument be indexed by a prefix/proclitic on the verb in the simple independent clause?,0,Lytkin 1962:in passim,,
GB095,Are variations in marking strategies of core participants based on TAM distinctions?,0,Lytkin 1962:in passim,,
GB096,Are variations in marking strategies of core participants based on verb classes?,0,Lytkin 1962:in passim,,
GB098,Are variations in marking strategies of core participants based on person distinctions?,0,Lytkin 1962:in passim,,
GB099,Is there verb suppletion for participant person?,0,Lytkin 1962:in passim,,
GB103,Can a verb have a benefactive marker (applicative marker or index)?,0,Lytkin 1962:in passim,,
GB104,Can a verb have an instrumental marker (applicative marker or index)?,0,Lytkin 1962:in passim,,
