ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB024,guokta ijá,,guokta ijá,two night.GEN,two nights,Ylikoski_Lule 2022:144
GB025,dat idja,,dat idja,that night,that night,Ylikoski_Lule 2022:144
GB027-1,"De muv ieddne vuolgij dan dálve dakkár oasesgálvoj ietjá rádnaj, ma adnin aj sämmálágásj oassásijt, Bihtáma stádai",,"de muv ieddne vuolgij dan dálve dakkár oasesgálvoj ietjá rádnaj, ma adnin aj sämmálágásj oassásijt, Bihtáma stádai",PTCL 1SG.GEN mother leave.PST.3SG that.GEN winter.GEN that_kind commodity.PL.COM other friend.PL.COM REL.PL have.PST.3PL also similar commodity.PL.ACC Bihtám.GEN town.ILL,"Well, that winter my mother left for Bihtám with commodities of that kind, with friends who also had similar things to sell",Ylikoski_Lule 2022:146
GB027-2,"De dalloj boahttsuskitte, duolje, gábmasa, gállo ja gisstá ja goarodum gåjkekgábmaga jåhtin buoremusát Bihtám-stádan",,"de dalloj boahttsuskitte, duolje, gábmasa, gállo ja gisstá ja goarodum gåjkekgábmaga jåhtin buoremusát Bihtám-stádan",PTCL then reindeer_GEN.leather.PL fur.PL shoe.PL forehead_skin.PL and mitten.PL and sew.PASS.PST.PTCP winter_shoe.PL be_sold.PST.3.PL best.ADV Bihtám-town.INE,"At that time, reindeer leather, furs, shoes, reindeer forehead skins and mittens and sewn winter shoes sold best in the town of Bihtám (Swedish: Piteå)",Ylikoski_Lule 2022:146
GB031,"måj ~ mådja, dåj ~ dådja, såj ~ sådja",,"måj ~ mådja, dåj ~ dådja, såj ~ sådja","1DU ~ 1DU, 2DU ~ 2DU, 3DU ~ 3DU","we (two), you (two), they (two)",Ylikoski_Lule 2022:137
GB035,"dat, dát, duot, dåt",,"dat, dát, duot, dåt","DEM.ADR, DEM.SPKR, DEM.DIST1, DEM.DIST2","that (near addressee), this (near speaker), that (far away), that (further away)",Ylikoski 2020:405
GB044,ijájn,,ijá-j-n,night-PL-INESS,in the nights,Ylikoski_Lule 2022:136
GB047-1,åhpad- > åhpadibme,,åhpad- > åhpad-ibme,teach > teach-AN,"teach > teaching, education",Ylikoski_Lule 2022:142
GB047-2,oahppa- > oahppam,,oahppa- > oahppa-m,learn > learn-AN,learn > learning,Ylikoski_Lule 2022:142
GB048-1,åhpad- > åhpadiddje,,åhpad- > åhpad-iddje,teach > teach-AG,"learn > pupil, learner",Ylikoski_Lule 2022:142
GB048-2,oahppa- > oahppe,,oahppa- > oahpp-e,learn > learn-AG,teach > teacher,Ylikoski_Lule 2022:142
GB049-1,máhtte- > máhtto,,máhtte- > máhtt-o,can > can-NMLZ,"can, know > knowledge",Ylikoski_Lule 2022:142
GB049-2,assta- > assto,,assta- > asst-o,have_time > have_time-NMLZ,have time > (spare) time,Ylikoski_Lule 2022:142
GB065,mijá návsste guorav,,mijá návsste guorav,1PL.GEN boathouse.GEN by,by our boathouse,Ylikoski_Lule 2022:141
GB070,Oahppe dåbddå bájkkenamáv,,oahppe dåbddå bájkkenamáv,student know.3SG place_name.ACC,The student knows the place name,SIKOR
GB071,Mån dåbdåv suv,,mån dåbdåv suv,1SG know.1SG 3SG.ACC,I know him/her.,SIKOR
GB072,"Idedisbiebbmon sidáv guokta sjijvo, glásav mielkes ja gåhpåv káfas",,"Idedisbiebbmon sidáv guokta sjijvo, glásav mielkes ja gåhpåv káfas",breakfast.ESS wish.1SG two slice.GEN glass.ACC milk.ELA and cup.ACC coffee.ELA,"For breakfast, I want to have two slices of bread, a glass of milk and a cup of coffee",SIKOR
