ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
GB024,viiz meessä,,viis mees-sä,five  man-PRT,five men,Ariste 1948:68
GB025,se hakka,,se hakka,this old.woman,this old woman,Ariste 1948:65
GB027-1, tšellod ja bubentšikat trälissä,,tšello-d ja bubentšika-t träli-ssä,bell-PL and crotal.bell-PL ring-IPS.PRS,bells and crotal bells are ringing,VKS: bubentšikka
GB027-2,nämäd menivät poigaaka,,nämäd men-i-vät poigaa-ka,3PL go-PST-3PL son-COM,they went with son,Ariste 1948:39
GB044,varpaad,,varpaa-d,toe-PL,toes,Ariste 1948:22
GB047,juua : joomin,,juua : joo-min,drink-INF : drink-NMLZ,to drink : drinking,Ariste 1948:87; VKS: juua
GB048,laulaa : laulaja,,laula-a : laula-ja,sing-INF : sing-AG.NMLZ,to sing : singer,Ariste 1948:88; VKS: laulaa
GB049,kattaa : katto,,katta-a : katt-o,cover-INF : cover-NMLZ,to cover : roof,Ariste 1948:125; VKS kattaa
GB065,poigaa tširja,,poigaa tširja,son.GEN book,son`s book,Ariste 1948:23
GB070,toon lihaa i võita,,too-n liha-a i või-ta,bring-1SG meat-PRT and butter-PRT,I will bring meat and butter,Ariste 1948:25
GB071,jumal avitap sinua,,jumal avita-p sinu-a,god help-3SG you-PRT,god will help you,VKS: armahtaa
GB072,sain tširjaa poigalta,,sa-i-n tširjaa poiga-lta,get-PST-1SG tširjaa.GEN son-ABL,I got a letter from son,Ariste 1948:34
GB073,mill on tšülmä,,mi-ll on tšülmä,1SG-ADE be.3SG cold,I am cold,VKS: irmuz
GB074,läpi metsää,,läpi metsää,through forest.GEN,through the forest,Ariste 1948
GB075,Narvaa kautta,,Narvaa kautta,Narva.GEN via,via Narva,Ariste 1948
GB080,juttelen,,jutt-ele-n,Story-FRQ-1SG,I say,Ariste 1948:128
GB083,eläväd : eliväd,,elä-väd : el-i-väd,live-3PL : live-PST-3PL,they live : they lived,Ariste 1948:77
GB089,õlõn : õlõd : on : õlõmma : õlõtta : onvad,,õlõ-n : õlõ-d : on : õlõ-mma : õlõ-tta : on-vad,be-1SG : be-2SG : be.3SG : be-1PL : be-2PL : be.3SG-3PL,I am : you are : he/seh/it is : we are : you are : they are,Ariste 1948:75
GB091,tulõn,,tulõ-n,come-1SG,I come,Ariste 1948:73-75 
GB111,sõisozin vs. lein,,sõiso-zi-n vs. le-i-n,stand-PST-1SG vs. hit-PST-1SG,I stood vs. I hit,Ariste 1948:77; VKS: sõisoa
GB113,apata : apagoittaa,,apa-ta : apa-goitta-a,clabber-INF : acidify-CAUS-INF,to clabber : to acidify,Ariste 1948:129
GB114,tõmmata : tõmpauta,,tõmma-ta : tõmpa-u-ta,pull-INF : pull-REFL-INF,to pull : to contract,Ariste 1948:129; VKS: tõmpauta
GB117,siä õõd laiskakoira,,siä õõ-d laiskakoira,you be-2SG lazybones,you are a lazybones,VKS: mikää
GB118,"tuõ, võta minnua täält",,"tuõ, võta minnu-a täält",come.IMP.2SG take.IMP.2SG 1SG-PRT from.here,come and take me away from here,VKS: nimi
GB121,õlõn antannu,,õlõ-n anta-nnu,be-1SG give-ACT.PST.PTCP,I have given,Ariste 1948:78
GB130,hullukkõim makkaap tšättšüᴢ,,hullukkõim makkaa-p tšättšü-z,child sleep-3SG cradle-INE,a child is sleeping in cradle,VKS: hullukkõin
GB132,kunni zvierid võittivad lintuit,,kunni zvieri-d võtt-i-vad lintu-i-t,until animal-PL defeat-PST-3PL bird-PL-PRT,until wild animals defeated birds,Ariste 1948:24
GB134-1,etti näväd võttaaz aivo rammua panidorassa,,etti näväd võttaa-z aivo rammu-a panidora-ssa,because 3PL take-IPS all.the.time strenght-PRT tomato-ELA,because those don`t let tomato grow,VKS: etti
GB134-2,pääzgod võttavad lennolla tšimuo tšiini,,pääzgo-d võtta-vad lenno-lla tšimuo tšiini,swallow-PL take-3PL flying-ADE bee fast.PTCL,swallows catch bee on the wing,VKS: tšimo
GB135-1,miä tahon murrua,,miä taho-n murru-a,1SG want-1SG crumb-PRT,I want crumbs,VKS: muru
GB135-2,miä tahon juuvvõ limonattia,,miä taho-n juuvvõ limonatti-a,1SG want-1SG drink-INF lemonade-PRT,I want to drink lemonade,VKS: limonatti
GB139-1,ette süü süümizii,,e-tte süü süümizii,NEG.2PL eat.CNG food.PL.PRT,you do not eat foods,VKS: söömin
GB139-2,elä söö õunaa,,elä söö õunaa,NEG.IMP.2SG eat.CNG apple.PRT,do not eat apple,VKS: juuttua
GB140-1,katti eb õõ kotonn,,katti e-b õõ kotonn,cat NEG-3SG be.CNG at.home,cat is not at home,VKS: katti
GB140-2,alussia ennää eb õõ,,aluss-i-a ennää e-b õõ,sailing.ship-PL-PRT anymore NEG-3SG be.CNG,there are no sailing ships anymore,VKS: aluz
GB140-3,tämä eb õõ terve,,tämä e-b õõ terve,3SG NEG-3SG be.CNG healthy,s/he is not well,VKS: en
GB147,ämmä õli tootu kõrvõttuissa,,ämmä õl-i too-tu kõrvõttui-ssa,mother.in.law be.AUX-PST bring-PASS.PST.PTCP PN-ELA,mother-in-law was brought from kõrvõttui,VKS: litšimein
GB155,apata : apagoittaa,,apa-ta : apa-goitta-a,clabber-INF : acidify-CAUS-INF,to clabber : to acidify,Ariste 1948:129
