Feature_ID,Feature,Value,Source,Comment,Example,
GB020,Are there definite or specific articles?,0,"Nikolaeva (2014:141, 206-207)",,,
GB021,Do indefinite nominals commonly have indefinite articles?,0,"Nikolaeva (2014:141, 206-207)",,,
GB022,Are there prenominal articles?,0,"Nikolaeva (2014:141, 206-207)",,,
GB023,Are there postnominal articles?,0,"Nikolaeva (2014:141, 206-207)",,,
GB024,What is the order of numeral and noun in the NP?,1,Nikolaeva (2014:151-154),,GB024,
GB025,What is the order of adnominal demonstrative and noun?,1,"Nikolaeva (2014:71, 141-142)",,GB025,
GB026,Can adnominal property words occur discontinuously?,1,"Nikolaeva (2014:159-160, 221, 299-300)",,GB026,
GB027,Are nominal conjunction and comitative expressed by different elements?,1,"Nikolaeva (2014:64, 416-419, 423-425)",,"GB027-1, GB027-2",
GB028,Is there a distinction between inclusive and exclusive?,0,"Nikolaeva (2014:9, 47-48)",,,
GB030,Is there a gender distinction in independent 3rd person pronouns?,0,"Nikolaeva (2014:15, 47-48)",,,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?,1,Nikolaeva (2014:47-48),,"GB031-1, GB031-2, GB031-3",
GB035,Are there three or more distance contrasts in demonstratives?,1,Nikolaeva (2014:141),"The following contrast can be observed: t'ukuº 'this', t'ikiº 'that (mostly anaphoric)', t'exa 'that, distant or behind something',takiº 'that (deictic)', tayºkuyº 'that one over there (visible)'.",,
GB036,Do demonstratives show an elevation distinction?,0,Nikolaeva (2014:141),,,
GB037,Do demonstratives show a visible-nonvisible distinction?,1,Nikolaeva (2014:141),"The following demonstratives express such a distinction: t'exa 'that, distant or behind something' vs. tayºkuyº 'that one over there (visible)'.",,
GB038,Are there demonstrative classifiers?,0,Nikolaeva (2014:141-142),,,
GB039,Is there nonphonological allomorphy of noun number markers?,0,Nikolaeva (2014:57-60),,,
GB041,Are there several nouns (more than three) which are suppletive for number?,0,Nikolaeva (2014:25),"Not mentioned explicitly but ""[t]he only really irregular noun is ŋəmke 'what', which forms the accusative plural stem as ŋəwo"" (Nikolaeva 2014:25).",,
GB042,Is there productive overt morphological singular marking on nouns?,0,Nikolaeva (2014:57),,,
GB043,Is there productive morphological dual marking on nouns?,1,Nikolaeva (2014:57-58),,"GB046, GB068",
GB044,Is there productive morphological plural marking on nouns?,1,Nikolaeva (2014:59-60),,GB059-2,
GB046,Is there an associative plural marker for nouns?,1,"Nikolaeva (2014:57-60, 414-415)",The dual can carry associative meaning.,GB046,
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,0,Nikolaeva (2014:30-32),,,
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,0,Nikolaeva (2014:30-32),,,
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,1,Nikolaeva (2014:30-32),The productive suffixes are -s'eh and -bc'eh.,"GB049-1, GB049-2",
GB051,Is there a gender/noun class system where sex is a factor in class assignment?,0,Nikolaeva (2014:29-32),No gender,,
GB052,Is there a gender/noun class system where shape is a factor in class assignment?,0,Nikolaeva (2014:29-32),No gender,,
GB053,Is there a gender/noun class system where animacy is a factor in class assignment?,0,Nikolaeva (2014:29-32),No gender,,
GB054,Is there a gender/noun class system where plant status is a factor in class assignment?,0,Nikolaeva (2014:29-32),No gender,,
GB057,Are there numeral classifiers?,0,Nikolaeva (2014:52-53),,,
GB058,Are there possessive classifiers?,0,Nikolaeva (2014:66-68),,,
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,1,Nikolaeva (2014:155-156),"Inasmuch as possessive concord, which is generally optional, is only likely to occur in situations regarding inalienable relationships.","GB059-1, GB059-2",
GB065,What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?,1,Nikolaeva (2014:142),,GB065,
GB068,"Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",1,Nikolaeva (2014:41-42),"Like nouns, predicative adjectives express the category of tense (inflectional past) and subject agreement).",GB068,
GB069,"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",0,Nikolaeva (2014:41-42),,,
GB070,Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?,1,Nikolaeva (2014:60-72),,GB105,
