ID,Feature,Value,Source,Comment,Example
GB020,Are there definite or specific articles?,0,VISK § 1418,,
GB021,Are there indefinite or non-specific articles?,0,VISK § 1418,,
GB022,Are there prenominal articles?,0,VISK § 1418,,
GB023,Are there postnominal articles?,0,VISK § 1418,,
GB024,What is the order of numeral and noun in the NP?,1,VISK § 1305,,GB024
GB025,What is the order of adnominal demonstrative and noun?,1,VISK § 720 ,,GB025
GB026,Can adnominal property words occur discontinuously?,0,VISK:in passim,,
GB027,Are nominal conjunction and comitative expressed by different elements?,1,"Karlsson 2018:263, 408",,"GB027-1, GB027-2"
GB028,Is there a distinction between inclusive and exclusive?,0,"VISK § 100-103, § 107, § 716-719 ",,
GB030,Is there a gender distinction in phonologically independent third person pronouns?,0,VISK:in passim,,
GB031,Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun or person index system?,0,"VISK § 79-80, § 100-103, § 107, § 716-719",,
GB035,Are there three or more distance contrasts in adnominal demonstratives?,0,VISK § 720-728,,
GB036,Do adnominal demonstratives show an elevation distinction?,0,VISK § 720-728,,
GB037,Do adnominal demonstratives show a visible-nonvisible distinction?,0,VISK § 720-728,,
GB038,Are there demonstrative classifiers?,0,VISK:in passim,,
GB039,Is there nonphonological allomorphy of noun number markers?,0,VISK § 79-80,,
GB041,Are there several nouns (more than three) which are suppletive for number?,0,VISK:in passim,,
GB042,Is there a productive overt morphological singular marker on nouns?,0,VISK § 79-80,,
GB043,Is there a productive morphological dual marker on nouns?,0,VISK § 79-80,,
GB044,Is there a productive morphological plural marker on nouns?,1,VISK § 79,,GB044
GB046,Is there an associative plural marker for nouns?,0,VISK § 79-80,,
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,1,VISK § 221-224,Several different suffixes.,GB047
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,1,VISK § 251,,GB048
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,1,VISK § 226,,GB049
GB051,Is there a noun class/gender system where masculine and feminine categories are a factor in class assignment?,0,VISK:in passim,,
GB052,Is there a noun class/gender system where shape is a factor in class assignment?,0,VISK:in passim,,
GB053,Is there a noun class/gender system where animacy is a factor in class assignment?,0,VISK:in passim,,
GB054,Is there a noun class/gender system where plant status is a factor in class assignment?,0,VISK:in passim,,
GB057,Are there numeral classifiers?,0,VISK:in passim,,
GB058,Are there possessive classifiers?,0,VISK:in passim,,
GB059,Is the adnominal possessive construction different for alienable and inalienable nouns?,0,"VISK § 546, § 574",,
GB065,What is the pragmatically unmarked order of adnominal possessor and possessed noun?,1,VISK § 96,,GB065
GB068,"Do property words (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",0,VISK § 450,,
GB069,"Do adnominal property words (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",0,Mervi de Heer (p.c. 2019),,
GB070,"Are there morphological cases for non-pronominal core arguments (i.e. S, A or P)?",1,VISK § 925,"Object can be in nominative (unmarked), genitive or partitive.",GB070
GB071,"Are there morphological cases for phonologically independent personal pronominal core arguments (i.e. S, A or P)?",1,"VISK § 925, § 930","Object can be in nominative (unmarked), genitive, partitive, or accusative.",GB071
GB072,"Are there morphological cases for oblique non-pronominal NPs (i.e. not S, A or P)?",1,VISK § 1235-1241,,GB072
GB073,"Are there morphological cases for phonologically independent oblique personal pronouns (i.e. not S, A or P)?",1,"VISK § 100, § 1235-1241 ",,GB073
GB074,Are there prepositions?,1,"VISK § 687, § 699-705",,GB074
GB075,Are there postpositions?,1,"VISK § 687, § 692, § 699-706 ",,GB075
GB079,"Do verbs have prefixes or proclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",0,VISK § 105-118,,
GB080,"Do verbs have suffixes or enclitics other than S, A or P indexes (do include indexes that also mark TAM or negation)?",1,VISK § 105-118,,GB080
GB081,Is there productive infixation in verbs?,0,VISK:in passim,,
GB082,Is there overt morphological marking of present tense on verbs?,0,VISK § 112-114,,
GB083,Is there overt morphological marking on the verb dedicated to past tense?,1,VISK § 112-114,,GB083
GB084,Is there overt morphological marking on the verb dedicated to future tense?,0,VISK § 112-114,,
GB086,Is a morphological distinction between perfective and imperfective aspect available on verbs?,0,VISK § 1508-1515,,
GB089,Can the S argument be indexed by a suffix/enclitic on the verb in the simple independent clause?,1,VISK § 107,,GB089
