Feature_ID,Value,Source,Comment
GB020,1,Kowalik (to appear),"A neutral demonstrative is used as a definite article (and as the third person pronoun), but this is not obligatory."
GB021,0,Kowalik (to appear),"However, the numeral for ""one"" can be used as an indefinite article."
GB022,1,Kowalik (to appear),
GB023,0,Kowalik (to appear),
GB024,1,Kowalik (to appear),
GB025,1,Kowalik (to appear),
GB026,0,Kowalik (to appear),
GB027,1,Kowalik (to appear),Comitative case.
GB028,0,Kowalik (to appear),There is a dual pronoun construction but the interlocutor is not marked.
GB030,0,Kowalik (to appear),
GB031,1,Kowalik (to appear),
GB035,1,Kowalik (to appear),
GB036,0,Kowalik (to appear),
GB037,0,Kowalik (to appear),
GB038,0,Kowalik (to appear),
GB039,0,Kowalik (to appear),
GB041,0,Kowalik (to appear),
GB042,0,Kowalik (to appear),
GB043,0,Kowalik (to appear),
GB044,0,Kowalik (to appear),
GB046,0,Kowalik (to appear),
GB047,1,Kowalik (to appear),Derivational suffix.
GB048,1,Kowalik (to appear),Derivational suffix.
GB049,1,Kowalik (to appear),Derivational suffix.
GB051,0,Kowalik (to appear),
GB052,0,Kowalik (to appear),
GB053,0,Kowalik (to appear),
GB054,0,Kowalik (to appear),
GB057,0,Kowalik (to appear),
GB058,0,Kowalik (to appear),
GB059,0,Kowalik (to appear),
GB065,1,Kowalik (to appear),
GB068,0,Kowalik (to appear),
GB069,0,Kowalik (to appear),
GB070,1,Kowalik (to appear),
GB071,1,Kowalik (to appear),
GB072,1,Kowalik (to appear),
GB073,1,Kowalik (to appear),
GB074,1,Kowalik (to appear),
GB075,1,Kowalik (to appear),
GB079,0,Kowalik (to appear),
GB080,0,Kowalik (to appear),No portmanteau suffixes.
GB081,0,Kowalik (to appear),
GB082,0,Kowalik (to appear),
GB083,1,Kowalik (to appear),
GB084,0,Kowalik (to appear),
GB086,0,Kowalik (to appear),
GB089,1,Kowalik (to appear),
GB090,0,Kowalik (to appear),
GB091,1,Kowalik (to appear),
GB092,0,Kowalik (to appear),
GB093,0,Kowalik (to appear),
GB094,0,Kowalik (to appear),
GB095,0,Kowalik (to appear),
GB096,0,Kowalik (to appear),
GB098,0,Kowalik (to appear),
GB099,0,Kowalik (to appear),
GB103,0,Kowalik (to appear),
GB104,0,Kowalik (to appear),
GB105,0,Kowalik (to appear),"DO in ditransitive constructions are usually marked with the ACC, IO marked with other oblique cases."
GB107,1,Kowalik (to appear),"Standard negation is expressed with a finite negative auxiliary + a non-finite irrealis form (called the ""connegative"") of the main verb."
GB108,0,Kowalik (to appear),
GB109,0,Kowalik (to appear),
GB110,0,Kowalik (to appear),
GB111,0,Kowalik (to appear),"There are different verb groups, but no conjugation classes, in South Saami."
GB113,1,Magga & Magga 2012:143-145,
GB114,0,Kowalik (to appear),"Such a marker exists, but the suffix is not productive."
GB115,0,Kowalik (to appear),"Such a marker exists, but the suffix is not productive."
GB116,0,Kowalik (to appear),
GB117,1,Kowalik (to appear),"However, it us usually left out in the present tense."
GB118,0,Kowalik (to appear),
GB119,0,Kowalik (to appear),
GB120,0,Kowalik (to appear),
GB121,1,Kowalik (to appear),
GB122,0,Kowalik (to appear),
GB123,0,Kowalik (to appear),
GB124,0,Kowalik (to appear),
GB126,1,Kowalik (to appear),
GB127,0,Kowalik (to appear),
GB129,0,Kowalik (to appear),
GB130,1,Kowalik (to appear),
GB131,0,Kowalik (to appear),
GB132,0,Kowalik (to appear),
GB133,1,Kowalik (to appear),
GB134,1,Kowalik (to appear),
GB135,1,Kowalik (to appear),
GB136,0,Kowalik (to appear),"SOV is most frequent but SVO occurs as well, without any propositional changes."
