ID,Language_ID,Primary_Text,Gloss,Translated_Text,Ref,Source,Original_Script,Comment
UT001-1,South Saami,Månnoeh luhkien,we.1DU read.1DU,We two read,,,,
UT001-2,South Saami,Maanah låhkijägan,child.PL read.3DU,Children read’ (= two or more),,,,
UT001-3,South Saami,Göökte gaahtoeh byöpmedieh,two cat.PL eat.3PL,Two cats eat,,,,
UT002-1,Finnish,Lume-en jä-i tasaise-t jälje-t,snow-ILL remain-PST.3SG even-PL step-PL,In the snow there remained even steps,,,,
UT002-2,Estonian,Viis meest läks ~ läksid poodi,five man.PRT go.PST.3SG ~ go.PST.3PL shop.ILL,Five men went to the shop,,,,
UT002-3,Hill Mari,"Otǝ̑štǝ̑  tumo, piste, pükšerme kuškǝ̑t",grove.INE oak linden nut_tree grow.3PL,"In the grove, there grow oak, linden, and nut trees",Alhoniemi 1985: 73,alhoniemi_marin_1985[73],,
UT003-2,Hungarian,El-olvas-t-am a könyv-et / a könyv-ek-et,PFX-read-PST-1SG.DEF DEF.ART book-ACC / DEF.ART book-PL-ACC,I read the book / the books,,,,
UT004-1,Estonian,vana-s maja-s,old-INE  house-INE,in an old house,,,,
UT005-1,Central_Veps,pene-n mužika-nke,short-GEN man-COM,with a short man,Grünthal 2015,grunthal_vepsan_2015,,
UT005-2,Meadow_Mari,сылне сӱрет-лан,beautiful picture-DAT,to the beautiful picture,Riese et al. 2019,riese_mari_2019,,
UT006-1,Erzya,lotkɑ-mɑ vɑst-tnǝn e-sɑ lomɑttnæ u͡tɕ-iȷ̊tj troljljejbus-tj e-sɑ,stop-PTCP place-GEN.DEF.PL POSTP-INE person.NOM.DEF.PL wait-PRS.3PL trolleybus-GEN.DEF POSTP-INE,"At the stops, people are waiting for the trolleybus",Alhoniemi 1991: 27,alhoniemi_kasus_1991,Лоткама васт-тнень э-са ломаттне уч-ихть троллейбус-ть э-са,
UT007-1,Estonian,Ta küsi-s ema-lt / ema käest raha,s/he ask-PST.3SG mother-ABL / mother.GEN from money.PRT,S/he asked money from mother,,,,
UT008-1,Meadow Mari,"unɑ-vlɑk-ən kɑjə-mekə-ʃt, me mɑl-ɑʃ voz-ən-nɑ","guest-PL-GEN go-CVB.PRI-PX3PL, 1PL sleep-INF lie_down-PST2-1PL","After the guests left, we went to sleep",,,"уна-влак-ын кайы-мекы-шт, ме мал-аш воз-ын-на",
UT010-1a,Komi Zyrian,Me ľubit-a Syktyvkar-ös ~ Syktyvkar,1SG like-PRS.1SG Syktyvkar-ACC ~ Syktyvkar.NOM,I like Syktyvkar,Klumpp 2012: 345,klumpp_differential_2012[345],,
UT010-1b,Komi Zyrian,Me ľubit-a Bobyk-ös,1SG like-PRS.1SG Bobyk-ACC,I like Bobyk,Klumpp 2012: 345,klumpp_differential_2012[345],,
UT011-1a,Estonian,Anne ost-is jalgratta,Anne buy-PST.3SG  bicycle.GEN,Anne bought a bicycle,,,,
UT011-1b,Estonian,Anne ost-is jalgratas-t,Anne buy-PST.3SG  bicycle-PRT,Anne was buying a bicycle,,,,
UT012-1a,Estonian,Võta võti!,take.IMP.2SG  key.NOM,Take the key,,,,
UT012-1b,Estonian,Ära  võta   võti-t!,NEG.IMP.2SG   take.CNG  key-PRT,Don’t take the key!,,,,
UT013-1a,Estonian,Laua-l on leib,table-ADE be.3SG bread.NOM,There is the bread on the table,,,,
UT013-1b,Estonian,Laua-l on leiba,table-ADE  be.3SG bread.PRT,There is some bread on the table,,,,
UT014-1,Estonian,Varas(A) lõ-i  nais-t(O)  ja  Ø(S) jooks-is  ära,thief  hit-PST.3SG woman-PRT and Ø run-PST.3SG away,The thief hit the woman and ran away,,,,
UT015-1,East Mansi,"tolmax nee-m senktǝ-stǝ, il xajtǝs",thief woman-ACC hit-PST.SG>3SG away run-PST.3SG,"The thief hit the woman, and she ran away",,,,
UT016-1,Tundra Nenets,mənc°ra-s´əti-d°m,work-HAB-1SG,I usually work,Nikolaeva 2014: 84,nikolaeva_grammar_2014[84],,
UT016-2,Meadow_Mari,jəvɑn ont͡ɕət͡ɕ tɑmɑk-əm ok ʃupʃ əʎe,Yyvan before tobacco-ACC NEG.3SG smoke.CNG be.PST1.3SG,Yyvan didn’t use to smoke,Riese et al. 2019: 224,riese_mari_2019[224],Йыван ончыч тамак-ым ок шупш ыле,
UT017-1,North_Mansi,suns- vs. suns-iyl-,,to watch vs. to watch repeatedly,Riese 2001: 58,riese_vogul_2001[58],,
UT017-2,Hungarian,olvas vs. olvas-gat,,to read vs. to read repeatedly,,,,
UT018-1,Finnish,Ole-n luke-ma-ssa,be-1SG read-SUP-INE,I am reading,,,,
UT018-2,South Saami,Manne Staaresne årroeminie,1SG Staare.INE live.PROG,I am living in Östersund,,,,
UT019-1,Hungarian,Jövő tél-en vesz-ek egy új autó-t,next winter-SUPESS buy-PRS.1SG a new car-ACC,Next winter I will buy a new car,Rounds 2013: 50,rounds_2013[50],,
UT020-1,Estonian,Rong on välju-ma-s,train be.3SG leave-mINF-INE,The train is about to leave,,,,
UT020-2,Nganasan,tǝu-Ɂki-Ɂi-nǝ,fly-RES-AOR.RFL-1SG.RFL,I'm just flying to Dudinka,Wagner-Nagy 2018: 212,wagner-nagy_grammar_2018[212],,
